0F,1CFE,053D,063E,0680,0573
0F,1CFF,053C,063E,067F,0572
0F,1D00,053C,063D,067E,0571
0F,1D01,053C,063E,0680,0572
0F,1D02,053D,063F,0681,0573
0F,1D03,053C,063E,0680,0573
0F,1D04,053C,063E,067F,0571
0F,1D05,053B,063E,067E,0570
0F,1D06,053D,063E,0680,0572
0F,1D07,053C,063E,0681,0573
0F,1D08,053D,063F,0680,0572
0F,1D09,053C,063E,067F,0571
0F,1D0A,053B,063D,067F,0570
0F,1D0B,053C,063E,0680,0572
0F,1D0C,053D,063E,0680,0574
0F,1D0D,053C,063E,0680,0573
0F,1D0E,053C,063E,0680,0571
0F,1D0F,053C,063D,067F,0571
0F,1D10,053D,063E,0680,0573
0F,1D11,053D,063E,0680,0574
0F,1D12,053D,063E,0680,0573
0F,1D13,053C,063E,067F,0571
0F,1D14,053C,063D,067E,0570
0F,1D15,053D,063E,0680,0573
0F,1D16,053D,063E,0681,0574
0F,1D17,053D,063E,0680,0573
0F,1D18,053C,063E,067F,0570
0F,1D19,053B,063D,067F,0571
0F,1D1A,053D,063E,0680,0572
0F,1D1B,053D,063E,0680,0574
0F,1D1C,053D,063E,0680,0573
0F,1D1D,053D,063E,067F,0571
0F,1D1E,053C,063D,067E,0571
0F,1D1F,053D,063E,0680,0573
0F,1D20,053D,063F,0681,0573
0F,1D21,053C,063E,0680,0573
0F,1D22,053C,063E,0680,0571
0F,1D23,053C,063D,067F,0570
0F,1D24,053C,063E,0680,0572
0F,1D25,053C,063E,0681,0574
0F,1D26,053D,063E,0680,0573
0F,1D27,053C,063D,0680,0571
0F,1D28,053B,063D,067F,0571
0F,1D29,053C,063E,0680,0572
0F,1D2A,053D,063E,0681,0574
0F,1D2B,053C,063E,0680,0573
0F,1D2C,053C,063D,067F,0571
0F,1D2D,053C,063D,067E,0571
0F,1D2E,053D,063D,067F,0573
0F,1D2F,053D,063E,0680,0574
0F,1D30,053C,063D,0680,0573
0F,1D31,053C,063E,067F,0572
0F,1D32,053C,063E,067E,0570
0F,1D33,053D,063D,0680,0573
0F,1D34,053D,063E,0680,0574
0F,1D35,053D,063E,0680,0573
0F,1D36,053C,063E,067F,0571
0F,1D37,053C,063D,067F,0571
0F,1D38,053D,063F,067F,0573
0F,1D39,053D,063E,0681,0574
0F,1D3A,053D,063F,0680,0573
0F,1D3B,053C,063E,0680,0571
0F,1D3C,053B,063D,067F,0571
0F,1D3D,053C,063D,0680,0572
0F,1D3E,053D,063F,0681,0573
0F,1D3F,053D,063E,0680,0573
0F,1D40,053C,063E,0680,0570
0F,1D41,053B,063D,067F,0570
0F,1D42,053C,063E,0680,0572
