0C,1D5B,05CB,0629,067D,061C
0C,1D5C,05CB,0627,067C,061B
0C,1D5D,05CA,0626,067A,061A
0C,1D5E,05C9,0624,067A,0619
0C,1D5F,05CC,0628,067B,061B
0C,1D60,05CC,0629,067C,061C
0C,1D61,05CA,0627,067C,061B
0C,1D62,05CA,0626,067C,061B
0C,1D63,05C9,0625,067A,061A
0C,1D64,05CB,0627,067C,061C
0C,1D65,05CB,0628,067C,061C
0C,1D66,05CA,0626,067B,061B
0C,1D67,05C9,0625,067C,061B
0C,1D68,05C8,0624,067A,061A
0C,1D69,05CB,0626,067C,061C
0C,1D6A,05CC,0628,067D,061D
0C,1D6B,05CB,0627,067C,061C
0C,1D6C,05C9,0625,067B,061A
0C,1D6D,05C8,0624,067A,0619
0C,1D6E,05CB,0626,067B,061B
0C,1D6F,05CC,0628,067C,061C
0C,1D70,05CB,0627,067B,061B
0C,1D71,05CA,0626,067B,061A
0C,1D72,05C9,0624,0679,061A
0C,1D73,05CA,0627,067B,061A
0C,1D74,05CA,0628,067C,061B
0C,1D75,05CA,0626,067B,061B
0C,1D76,05CA,0626,067B,061B
0C,1D77,05C8,0625,067B,0619
0C,1D78,05C9,0625,067B,061A
0C,1D79,05CA,0627,067E,061D
0C,1D7A,05CA,0628,067D,061C
0C,1D7B,05C9,0625,067C,061B
0C,1D7C,05C9,0624,067A,061A
0C,1D7D,05CB,0627,067B,061C
0C,1D7E,05CB,0628,067B,061C
0C,1D7F,05CB,0627,067B,061B
0C,1D80,05CB,0626,067B,061B
0C,1D81,05CA,0625,0679,061A
0C,1D82,05CB,0627,067B,061C
0C,1D83,05CB,0628,067C,061C
0C,1D84,05CC,0628,067C,061C
0C,1D85,05C9,0626,067C,061A
0C,1D86,05C9,0625,067B,061A
0C,1D87,05CA,0625,067B,061B
0C,1D88,05CB,0628,067C,061C
0C,1D89,05C9,0626,067B,061A
0C,1D8A,05C9,0625,067B,061A
0C,1D8B,05C7,0623,067A,0619
0C,1D8C,05C9,0626,067B,061A
0C,1D8D,05CC,0629,067C,061D
0C,1D8E,05CB,0627,067B,061C
0C,1D8F,05CA,0626,067B,061A
0C,1D90,05CB,0625,067A,061A
0C,1D91,05CA,0626,067B,061B
0C,1D92,05CC,0627,067B,061C
0C,1D93,05CD,0628,067B,061D
0C,1D94,05CA,0626,067B,061B
0C,1D95,05C9,0625,067B,061A
0C,1D96,05CA,0625,067A,061A
0C,1D97,05CB,0628,067C,061C
0C,1D98,05CB,0627,067C,061C
0C,1D99,05CA,0626,067B,061B
0C,1D9A,05C8,0623,0678,0619
0C,1D9B,05CA,0625,067A,061A
0C,1D9C,05CC,0627,067B,061C
0C,1D9D,05CB,0627,067C,061D
0C,1D9E,05CA,0625,067A,061A
0C,1D9F,05C9,0624,0679,0618
