0F,09CF,053D,063D,067E,0571
0F,09D0,053D,063D,067F,0572
0F,09D1,053E,063E,0680,0574
0F,09D2,053E,063E,0680,0574
0F,09D3,053D,063E,067F,0573
0F,09D4,053D,063D,067E,0571
0F,09D5,053D,063D,067F,0572
0F,09D6,053E,063E,0680,0574
0F,09D7,053D,063D,0680,0574
0F,09D8,053D,063E,0680,0573
0F,09D9,053D,063D,067F,0571
0F,09DA,053C,063E,067F,0571
0F,09DB,053D,063E,0680,0574
0F,09DC,053E,063D,0681,0575
0F,09DD,053D,063E,0680,0573
0F,09DE,053D,063D,067F,0571
0F,09DF,053C,063D,067F,0572
0F,09E0,053E,063E,0681,0574
0F,09E1,053E,063E,0680,0575
0F,09E2,053E,063E,067F,0573
0F,09E3,053C,063D,067E,0571
0F,09E4,053D,063D,067E,0572
0F,09E5,053E,063E,0680,0574
0F,09E6,053E,063E,0680,0574
0F,09E7,053E,063D,067F,0573
0F,09E8,053D,063C,067E,0572
0F,09E9,053C,063D,067F,0571
0F,09EA,053E,063E,0680,0574
0F,09EB,053E,063E,0680,0574
0F,09EC,053E,063E,067F,0573
0F,09ED,053D,063D,067E,0571
0F,09EE,053C,063D,067F,0572
0F,09EF,053C,063E,0680,0574
0F,09F0,053E,063F,0680,0574
0F,09F1,053D,063D,067F,0572
0F,09F2,053C,063D,067F,0571
0F,09F3,053C,063E,067F,0571
0F,09F4,053D,063E,0681,0573
0F,09F5,053D,063E,0681,0574
0F,09F6,053D,063E,067F,0572
0F,09F7,053C,063D,067E,0571
0F,09F8,053C,063D,067F,0572
0F,09F9,053D,063E,0680,0573
0F,09FA,053D,063E,0680,0574
0F,09FB,053D,063E,067F,0573
0F,09FC,053D,063D,067E,0572
0F,09FD,053D,063C,067E,0572
0F,09FE,053E,063D,067F,0574
0F,09FF,053E,063E,0680,0575
0F,0A00,053E,063D,067F,0574
0F,0A01,053D,063C,067D,0572
0F,0A02,053D,063D,067D,0572
0F,0A03,053E,063D,067F,0574
0F,0A04,053E,063E,0680,0575
0F,0A05,053D,063D,067F,0573
0F,0A06,053D,063D,067E,0571
0F,0A07,053C,063C,067E,0572
0F,0A08,053E,063E,067F,0575
0F,0A09,053D,063E,0681,0574
0F,0A0A,053D,063E,0680,0573
0F,0A0B,053D,063E,067F,0570
0F,0A0C,053C,063D,067F,0572
0F,0A0D,053D,063E,0681,0574
0F,0A0E,053D,063F,0681,0574
0F,0A0F,053D,063E,0680,0572
0F,0A10,053C,063D,067F,0571
0F,0A11,053C,063D,067F,0571
0F,0A12,053D,063E,0680,0574
0F,0A13,053D,063F,0680,0574
0F,0A14,053D,063E,0680,0572
0F,0A15,053D,063D,067E,0571
0F,0A16,053C,063C,067E,0572
0F,0A17,053E,063D,0680,0574
0F,0A18,053E,063E,0681,0575
0F,0A19,053D,063D,067F,0572
0F,0A1A,053D,063C,067E,0572
0F,0A1B,053D,063B,067D,0573
0F,0A1C,053E,063D,067F,0575
0F,0A1D,053F,063D,067F,0575
0F,0A1E,053E,063D,067F,0573
0F,0A1F,053E,063C,067E,0572
0F,0A20,053E,063C,067D,0573
0F,0A21,053E,063D,067F,0575
0F,0A22,053D,063E,0680,0575
0F,0A23,053D,063E,067F,0572
0F,0A24,053D,063D,067E,0571
0F,0A25,053C,063D,067E,0571
0F,0A26,053E,063D,0680,0574
0F,0A27,053D,063E,0680,0574
0F,0A28,053D,063F,0680,0572
0F,0A29,053C,063E,067F,0570
0F,0A2A,053C,063D,067E,0572
0F,0A2B,053D,063E,0680,0573
0F,0A2C,053E,063F,0680,0574
0F,0A2D,053C,063F,0680,0572
0F,0A2E,053C,063E,067F,0571
0F,0A2F,053C,063D,067F,0571
0F,0A30,053E,063E,0680,0574
0F,0A31,053D,063E,0680,0574
0F,0A32,053D,063E,0680,0573
0F,0A33,053C,063D,067F,0571
0F,0A34,053C,063D,067F,0571
0F,0A35,053D,063D,0680,0573
0F,0A36,053E,063D,067F,0575
0F,0A37,053E,063D,067F,0573
0F,0A38,053D,063C,067E,0572
0F,0A39,053D,063C,067D,0572
0F,0A3A,053E,063D,067F,0574
0F,0A3B,053E,063E,067E,0575
0F,0A3C,053E,063D,067E,0573
0F,0A3D,053D,063C,067E,0572
0F,0A3E,053D,063D,067E,0572
0F,0A3F,053E,063E,067F,0574
0F,0A40,053E,063E,0680,0575
0F,0A41,053E,063D,067F,0574
0F,0A42,053D,063D,067E,0572
0F,0A43,053C,063D,067F,0571
0F,0A44,053D,063E,0680,0574
0F,0A45,053E,063E,0680,0575
0F,0A46,053E,063E,067F,0573
0F,0A47,053C,063D,067E,0571
0F,0A48,053C,063D,067F,0571
0F,0A49,053D,063E,0680,0573
0F,0A4A,053D,063E,0681,0574
0F,0A4B,053D,063E,0680,0573
0F,0A4C,053C,063D,067F,0571
0F,0A4D,053C,063D,067F,0570
0F,0A4E,053D,063F,0680,0573
0F,0A4F,053D,063E,0681,0574
0F,0A50,053D,063E,0680,0573
0F,0A51,053C,063D,067F,0571
0F,0A52,053C,063D,067F,0571
0F,0A53,053D,063E,0680,0574
0F,0A54,053E,063E,0680,0574
0F,0A55,053E,063D,067F,0574
0F,0A56,053D,063C,067E,0572
0F,0A57,053D,063C,067D,0572
0F,0A58,053E,063D,067F,0574
0F,0A59,053E,063E,067F,0574
0F,0A5A,053F,063D,067E,0574
0F,0A5B,053E,063C,067D,0572
0F,0A5C,053D,063C,067D,0572
0F,0A5D,053E,063D,067F,0574
0F,0A5E,053E,063E,0680,0575
0F,0A5F,053D,063D,067F,0573
0F,0A60,053D,063D,067E,0571
0F,0A61,053C,063C,067F,0572
0F,0A62,053D,063E,0680,0574
0F,0A63,053D,063E,0681,0574
0F,0A64,053D,063E,0681,0572
0F,0A65,053C,063E,067F,0570
0F,0A66,053C,063D,067E,0572
0F,0A67,053D,063E,0680,0574
0F,0A68,053D,063E,0681,0574
0F,0A69,053C,063E,0680,0572
0F,0A6A,053C,063E,067F,0571
0F,0A6B,053C,063E,067F,0571
0F,0A6C,053D,063E,0680,0574
0F,0A6D,053E,063E,0680,0575
0F,0A6E,053E,063E,067F,0573
0F,0A6F,053D,063D,067E,0572
0F,0A70,053C,063C,067E,0572
0F,0A71,053E,063E,067F,0574
0F,0A72,053E,063D,0680,0575
0F,0A73,053E,063D,067F,0574
0F,0A74,053E,063D,067D,0571
0F,0A75,053E,063C,067C,0572
0F,0A76,053E,063D,067F,0574
0F,0A77,053F,063D,067F,0575
0F,0A78,053D,063E,067F,0573
0F,0A79,053D,063D,067E,0572
0F,0A7A,053C,063D,067E,0571
0F,0A7B,053D,063E,0680,0573
0F,0A7C,053D,063E,0680,0574
0F,0A7D,053D,063E,067F,0573
0F,0A7E,053D,063E,067F,0571
0F,0A7F,053C,063D,067F,0571
0F,0A80,053D,063E,0681,0574
0F,0A81,053D,063F,0681,0574
0F,0A82,053D,063E,0680,0572
0F,0A83,053D,063E,067E,0571
0F,0A84,053C,063D,067F,0571
0F,0A85,053D,063E,0680,0574
0F,0A86,053E,063E,0681,0574
0F,0A87,053D,063E,0680,0572
0F,0A88,053C,063D,067F,0571
0F,0A89,053C,063D,067E,0571
0F,0A8A,053D,063D,0680,0574
0F,0A8B,053E,063D,0680,0575
0F,0A8C,053E,063E,067F,0573
0F,0A8D,053D,063C,067E,0572
0F,0A8E,053D,063C,067E,0572
0F,0A8F,053E,063D,067F,0574
0F,0A90,053E,063D,067F,0575
