0B,09CF,0691,065A,061A,0651
0B,09D0,0691,065A,061B,0653
0B,09D1,0693,065B,061E,0655
0B,09D2,0693,065C,061E,0655
0B,09D3,0691,065A,061C,0652
0B,09D4,0690,0659,061B,0651
0B,09D5,0691,065A,061B,0653
0B,09D6,0692,065B,061D,0654
0B,09D7,0692,065B,061E,0654
0B,09D8,0691,065A,061B,0652
0B,09D9,0691,0659,0619,0650
0B,09DA,0691,065A,061B,0651
0B,09DB,0692,065B,061D,0653
0B,09DC,0692,065B,061E,0655
0B,09DD,0692,065A,061C,0652
0B,09DE,0691,0659,061A,0650
0B,09DF,0690,0658,061A,0651
0B,09E0,0691,0659,061C,0654
0B,09E1,0692,065A,061D,0654
0B,09E2,0691,0659,061B,0653
0B,09E3,0690,0658,061A,0650
0B,09E4,0691,0658,061A,0652
0B,09E5,0692,0659,061C,0654
0B,09E6,0693,065B,061D,0655
0B,09E7,0692,065A,061B,0652
0B,09E8,0692,0659,061A,0651
0B,09E9,0692,0659,061B,0652
0B,09EA,0693,065A,061C,0655
0B,09EB,0693,065A,061D,0656
0B,09EC,0692,065A,061C,0653
0B,09ED,0691,0659,061B,0651
0B,09EE,0691,065A,061B,0652
0B,09EF,0693,065B,061D,0654
0B,09F0,0693,065C,061E,0655
0B,09F1,0691,065A,061C,0652
0B,09F2,0690,065A,061B,0650
0B,09F3,0690,065A,061B,0651
0B,09F4,0692,065B,061E,0654
0B,09F5,0693,065C,061E,0655
0B,09F6,0692,065B,061D,0652
0B,09F7,0691,065A,061B,0651
0B,09F8,0692,065B,061C,0651
0B,09F9,0694,065C,061D,0655
0B,09FA,0693,065B,061E,0655
0B,09FB,0692,065A,061B,0652
0B,09FC,0692,065A,061B,0651
0B,09FD,0692,0659,061B,0652
0B,09FE,0693,065A,061D,0656
0B,09FF,0694,065A,061E,0656
0B,0A00,0693,0659,061B,0654
0B,0A01,0691,0658,061A,0652
0B,0A02,0691,0659,061B,0652
0B,0A03,0693,065A,061D,0656
0B,0A04,0693,065A,061E,0657
0B,0A05,0693,065A,061B,0653
0B,0A06,0691,0659,061A,0651
0B,0A07,0691,0659,061A,0651
0B,0A08,0694,065C,061C,0655
0B,0A09,0695,065D,061E,0656
0B,0A0A,0694,065C,061D,0654
0B,0A0B,0692,065C,061C,0651
0B,0A0C,0692,065C,061D,0652
0B,0A0D,0692,065C,061E,0654
0B,0A0E,0692,065C,061E,0654
0B,0A0F,0690,065A,061C,0652
0B,0A10,068F,0658,061B,0650
0B,0A11,068F,0659,061C,0650
0B,0A12,0690,065A,061D,0654
0B,0A13,0691,065A,061F,0655
0B,0A14,0690,0659,061C,0652
0B,0A15,0691,0659,061A,0650
0B,0A16,0690,0659,061A,0650
0B,0A17,0692,065A,061C,0653
0B,0A18,0692,065A,061C,0654
0B,0A19,0692,0659,061A,0651
0B,0A1A,0691,0658,0618,064F
0B,0A1B,068F,0657,0619,0651
0B,0A1C,0691,0658,061B,0653
0B,0A1D,0693,0659,061C,0655
0B,0A1E,0692,0658,0619,0653
0B,0A1F,0690,0657,061A,0651
0B,0A20,0690,0657,061A,0653
0B,0A21,0692,0658,061D,0656
0B,0A22,0692,0659,061F,0657
0B,0A23,0692,0658,061B,0654
0B,0A24,0691,0658,061A,0653
0B,0A25,0690,0659,061B,0652
0B,0A26,0693,065C,061D,0654
0B,0A27,0693,065C,061E,0655
0B,0A28,0692,065A,061B,0652
0B,0A29,0690,065A,0619,064F
0B,0A2A,0690,065A,061B,0650
0B,0A2B,0691,065C,061E,0653
0B,0A2C,0692,065C,061E,0654
0B,0A2D,0692,065B,061D,0652
0B,0A2E,0691,065B,061B,0651
0B,0A2F,0690,0659,061A,0650
