0C,1CFE,05CF,0638,068D,0620
0C,1CFF,05CE,0636,068C,061F
0C,1D00,05CE,0636,068B,061F
0C,1D01,05CF,0638,068D,0620
0C,1D02,05D0,0638,068D,0620
0C,1D03,05D0,0637,068C,0621
0C,1D04,05CE,0636,068C,061F
0C,1D05,05CE,0635,068B,061E
0C,1D06,05CF,0637,068D,0620
0C,1D07,05D1,0639,068D,0621
0C,1D08,05D0,0638,068D,0620
0C,1D09,05CE,0635,068C,061F
0C,1D0A,05CD,0635,068B,061F
0C,1D0B,05D0,0637,068D,0621
0C,1D0C,05D1,0639,068D,0621
0C,1D0D,05CE,0637,068D,0620
0C,1D0E,05CE,0636,068C,061F
0C,1D0F,05CF,0636,068B,061F
0C,1D10,05D0,0638,068D,0621
0C,1D11,05D1,0639,068D,0621
0C,1D12,05D0,0638,068D,0621
0C,1D13,05CE,0637,068C,061F
0C,1D14,05CE,0636,068B,061E
0C,1D15,05CF,0637,068D,0621
0C,1D16,05D1,0638,068D,0622
0C,1D17,05D0,0637,068C,0621
0C,1D18,05CF,0636,068C,061F
0C,1D19,05CD,0635,068C,061F
0C,1D1A,05D0,0638,068D,0620
0C,1D1B,05D1,0638,068D,0621
0C,1D1C,05CF,0638,068D,0621
0C,1D1D,05CF,0636,068C,061F
0C,1D1E,05CE,0635,068C,061F
0C,1D1F,05CF,0638,068E,0621
0C,1D20,05D1,0638,068D,0621
0C,1D21,05CF,0638,068D,0620
0C,1D22,05CE,0637,068D,061F
0C,1D23,05CF,0636,068C,061E
0C,1D24,05D0,0638,068C,0620
0C,1D25,05D0,0639,068E,0621
0C,1D26,05D0,0638,068C,0620
0C,1D27,05CF,0636,068C,061F
0C,1D28,05CD,0635,068B,061F
0C,1D29,05D0,0638,068C,0620
0C,1D2A,05D1,0639,068E,0622
0C,1D2B,05D0,0639,068D,0621
0C,1D2C,05CF,0636,068C,0620
0C,1D2D,05CE,0635,068B,061F
0C,1D2E,05D0,0638,068D,0621
0C,1D2F,05D1,0639,068D,0621
0C,1D30,05CF,0638,068D,0621
0C,1D31,05CF,0637,068D,0620
0C,1D32,05CE,0636,068C,061E
0C,1D33,05CF,0637,068D,0621
0C,1D34,05D0,0639,068E,0622
0C,1D35,05D0,0638,068D,0620
0C,1D36,05CF,0637,068D,0620
0C,1D37,05CE,0635,068C,061F
0C,1D38,05D0,0637,068C,0621
0C,1D39,05D1,0638,068D,0622
0C,1D3A,05D0,0638,068D,0620
0C,1D3B,05CE,0636,068C,061F
0C,1D3C,05CE,0635,068B,061F
0C,1D3D,05CF,0637,068D,0620
0C,1D3E,05D0,0639,068D,0621
0C,1D3F,05D0,0638,068C,0621
0C,1D40,05CF,0637,068C,061F
0C,1D41,05CE,0635,068B,061E
0C,1D42,05CF,0638,068D,0620
0C,1D43,05D0,0639,068D,0621
0C,1D44,05D0,0637,068C,0620
0C,1D45,05CE,0636,068C,061F
0C,1D46,05CD,0635,068C,061E
0C,1D47,05CF,0637,068D,0620
0C,1D48,05D0,0639,068E,0622
0C,1D49,05D0,0638,068D,0621
0C,1D4A,05CF,0636,068C,061F
0C,1D4B,05CD,0635,068B,061F
0C,1D4C,05CF,0638,068C,0620
0C,1D4D,05D0,0639,068E,0621
0C,1D4E,05CF,0637,068D,0621
0C,1D4F,05CF,0637,068D,0620
0C,1D50,05CF,0635,068B,061F
0C,1D51,05D0,0637,068D,0621
0C,1D52,05D1,0639,068E,0622
0C,1D53,05D0,0638,068D,0620
0C,1D54,05CF,0636,068D,0620
0C,1D55,05CD,0635,068C,061E
0C,1D56,05CF,0637,068D,0621
0C,1D57,05D0,0638,068D,0621
0C,1D58,05CF,0638,068D,0621
0C,1D59,05CE,0636,068C,061F
0C,1D5A,05CD,0634,068B,061F
0C,1D5B,05CF,0637,068C,0620
0C,1D5C,05D1,0639,068D,0620
0C,1D5D,05D0,0637,068C,0620
0C,1D5E,05CF,0636,068C,061F
0C,1D5F,05CE,0635,068B,061F
0C,1D60,05CF,0637,068D,0620
0C,1D61,05D0,0639,068D,0621
0C,1D62,05D0,0638,068C,0620
0C,1D63,05CE,0637,068C,061F
0C,1D64,05CD,0635,068C,061F
0C,1D65,05CF,0638,068D,0620
0C,1D66,05D0,0638,068E,0621
0C,1D67,05CF,0638,068D,0620
0C,1D68,05CE,0636,068C,061F
0C,1D69,05CD,0634,068B,061E
0C,1D6A,05CF,0638,068D,061F
0C,1D6B,05D1,0639,068D,0621
0C,1D6C,05D0,0638,068D,0620
0C,1D6D,05CF,0636,068C,0620
0C,1D6E,05CE,0635,068A,061E
0C,1D6F,05CF,0638,068C,0620
0C,1D70,05D0,0639,068E,0621
0C,1D71,05D0,0637,068C,0621
0C,1D72,05CF,0636,068C,061F
0C,1D73,05CE,0635,068B,061E
0C,1D74,05CE,0637,068C,0620
0C,1D75,05D0,0638,068E,0622
0C,1D76,05CF,0638,068D,0621
0C,1D77,05CF,0636,068D,0620
0C,1D78,05CD,0635,068B,061F
0C,1D79,05CF,0637,068C,0620
0C,1D7A,05D1,0639,068D,0621
0C,1D7B,05CF,0638,068D,0621
0C,1D7C,05CE,0636,068C,061F
0C,1D7D,05CE,0635,068B,061F
0C,1D7E,05CF,0636,068C,0620
0C,1D7F,05D0,0639,068D,0621
0C,1D80,05D0,0638,068C,0621
0C,1D81,05CE,0636,068D,061F
0C,1D82,05CE,0635,068B,061E
0C,1D83,05CF,0637,068C,0620
0C,1D84,05D0,0638,068D,0621
0C,1D85,05CF,0639,068D,0620
0C,1D86,05CE,0637,068C,061F
0C,1D87,05CE,0635,068B,061F
0C,1D88,05CF,0637,068C,0620
0C,1D89,05D1,0639,068D,0622
0C,1D8A,05D0,0638,068D,0621
0C,1D8B,05CF,0637,068C,0620
0C,1D8C,05CE,0635,068B,061E
0C,1D8D,05CE,0636,068D,0621
0C,1D8E,05D1,0638,068E,0622
0C,1D8F,05D0,0637,068C,0621
0C,1D90,05CF,0636,068D,0620
0C,1D91,05CD,0635,068C,061E
0C,1D92,05CF,0637,068C,0620
0C,1D93,05D0,0638,068D,0622
0C,1D94,05D0,0638,068D,0620
0C,1D95,05CF,0637,068C,061F
0C,1D96,05CE,0635,068B,061F
0C,1D97,05CF,0637,068C,061F
0C,1D98,05D1,0639,068D,0621
0C,1D99,05D0,0637,068D,0621
0C,1D9A,05CF,0636,068D,0620
0C,1D9B,05CE,0635,068B,061E
0C,1D9C,05CF,0636,068C,0620
0C,1D9D,05D0,0639,068D,0621
0C,1D9E,05D0,0638,068D,0621
