28,0.00757,-0.03931,0.12695,5.52368,-5.44739,3.17383,43.79883,53.17383,-37.35352,3.30000,3.07114,2.77055,2.47480,
28,0.06177,-0.05273,0.16479,3.37982,1.39618,1.23596,43.79883,53.17383,-37.35352,1.84864,1.34015,1.16447,0.99040,
28,0.08252,-0.06201,0.15991,-1.22070,3.34167,2.76184,43.65234,52.73438,-36.32813,0.77927,0.57216,0.49802,0.41824,
28,0.05225,-0.04395,0.11792,-2.08282,0.12970,4.02069,43.65234,52.73438,-36.32813,0.30864,0.22322,0.19744,0.16520,
28,0.03052,-0.03564,0.11768,0.35858,-0.82397,2.17438,43.65234,53.90625,-35.44922,0.12894,0.09106,0.07978,0.06769,
28,0.06299,-0.04980,0.13452,0.38147,2.37274,0.94604,43.65234,53.90625,-35.44922,0.05883,0.04674,0.04190,0.03385,
28,0.08862,-0.06177,0.13599,-1.78528,4.79889,1.43433,42.77344,53.02734,-36.32813,0.03385,0.02901,0.02659,0.01934,
28,0.08228,-0.06323,0.11450,-2.70081,3.54767,3.44086,42.77344,53.02734,-36.32813,0.00725,0.00484,0.00645,0.00484,
28,0.06079,-0.05029,0.08862,-0.77820,-0.74768,4.11224,42.77344,53.02734,-36.32813,0.00403,0.00242,0.00403,0.00322,
28,0.04956,-0.05664,0.10107,2.41852,-1.71661,3.41797,42.77344,53.02734,-36.32813,0.01370,0.01370,0.01128,0.00886,
28,0.06982,-0.06006,0.12207,2.70081,0.98419,2.49481,42.77344,53.02734,-36.32813,0.01773,0.01692,0.01531,0.01128,
28,0.07959,-0.06274,0.13062,1.85394,3.34930,3.31116,42.77344,53.02734,-36.32813,0.00161,0.00000,0.00242,0.00161,
28,0.06274,-0.05518,0.11963,0.61798,0.54932,3.72314,42.77344,52.88086,-36.76758,0.00081,0.00000,0.00081,0.00081,
28,0.05029,-0.05396,0.11377,1.14441,-0.03052,3.57056,44.09180,52.88086,-36.76758,0.00645,0.00806,0.00886,0.00484,
28,0.05762,-0.05322,0.12476,1.28174,2.51007,2.51770,44.09180,52.88086,-36.76758,0.02256,0.01934,0.01853,0.01370,
