,T [s],r_x,r_y,x_raw,y_raw,V1(Y1),V2(X2),V3(Y2),V4(X1),x-axis coefficient: a,x-axis offset: b,y-axis coefficient: a,y-axis offset: b
0,0.0,15.19681556629239,6.476268738696385,0.007799357699954121,-0.00382321455880104,1654,1641,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
1,0.02,15.369385245421132,6.6500866472816655,0.007649938800489596,-0.0036719706242350062,1653,1640,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
2,0.04,15.361267134364956,6.9982015949812535,0.007656967840735069,-0.0033690658499234303,1651,1639,1615,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
3,0.06,15.358557781124397,6.644915039352505,0.007659313725490196,-0.003676470588235294,1651,1638,1614,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
4,0.08,15.372087971290245,6.651377571744864,0.007647598654022637,-0.0036708473539308656,1653,1641,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
5,0.1,15.374789044116016,6.652667706651815,0.00764525993883792,-0.003669724770642202,1654,1641,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
6,0.12,15.369385245421132,6.6500866472816655,0.007649938800489596,-0.0036719706242350062,1653,1640,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
7,0.14,15.71500029345263,6.646209129299864,0.007350689127105666,-0.003675344563552833,1651,1638,1615,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
8,0.16,15.18578169026083,6.822825162072473,0.0078089113458888375,-0.003521665901087123,1652,1639,1615,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
9,0.18,15.19681556629239,6.476268738696385,0.007799357699954121,-0.00382321455880104,1654,1641,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
10,0.2,15.37748846541453,6.30261024733084,0.007642922653622745,-0.003974319779883827,1655,1641,1617,1629,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
11,0.22,15.369385245421132,6.6500866472816655,0.007649938800489596,-0.0036719706242350062,1653,1640,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
12,0.24,15.539460687174396,6.822825162072473,0.007502679528403001,-0.003521665901087123,1651,1639,1615,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
13,0.26,15.890593672010317,6.821585372348043,0.0071986521672537905,-0.0035227446775922804,1650,1638,1615,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
14,0.28,15.55006186218511,6.476268738696385,0.007493500535250038,-0.00382321455880104,1654,1640,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
15,0.3,15.19956981810259,6.477612218280173,0.0077969729399174435,-0.0038220455587830607,1655,1641,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
16,0.32,15.54741400101045,6.474924437035446,0.007495793177298455,-0.003824384274131865,1653,1640,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
17,0.34,15.363974828479224,6.999387117676444,0.0076546233925290875,-0.0033680342927127987,1651,1640,1615,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
18,0.36,15.183018996304238,6.821585372348043,0.007811303415530709,-0.0035227446775922804,1651,1639,1614,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
19,0.38,15.725388296900906,6.651377571744864,0.007341694707861731,-0.0036708473539308656,1653,1640,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
20,0.4,15.5527081041204,6.477612218280173,0.007491209295214799,-0.0038220455587830607,1654,1641,1617,1629,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
21,0.42,15.369385245421132,6.6500866472816655,0.007649938800489596,-0.0036719706242350062,1653,1640,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
22,0.44,15.183018996304238,6.821585372348043,0.007811303415530709,-0.0035227446775922804,1651,1639,1614,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
23,0.46,15.180254609261109,7.1724990745403545,0.007813696951126091,-0.003217404626934273,1650,1639,1614,1624,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
24,0.48,15.194059629151418,6.826539979470733,0.007801743919229004,-0.0035184335322013156,1653,1641,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
25,0.5,15.5527081041204,6.477612218280173,0.007491209295214799,-0.0038220455587830607,1654,1641,1617,1629,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
26,0.52,15.369385245421132,6.6500866472816655,0.007649938800489596,-0.0036719706242350062,1653,1640,1616,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
27,0.54,15.183018996304238,6.469538994510782,0.007811303415530709,-0.0038290703017307397,1652,1638,1614,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
28,0.56,15.536806334157276,6.469538994510782,0.00750497779139225,-0.0038290703017307397,1651,1638,1614,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
29,0.58,15.372087971290245,7.00293933388917,0.007647598654022637,-0.00336494340776996,1653,1641,1617,1627,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
30,0.6,15.19956981810259,6.829012738215883,0.0077969729399174435,-0.003516281914080416,1654,1642,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
31,0.62,15.54741400101045,6.474924437035446,0.007495793177298455,-0.003824384274131865,1653,1640,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
32,0.64,15.18854269268584,6.824064192703241,0.007806520740854125,-0.0035205877850910763,1652,1640,1615,1626,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
33,0.66,15.007533975277285,6.646209129299864,0.007963246554364471,-0.003675344563552833,1652,1639,1614,1625,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
34,0.68,15.54741400101045,6.474924437035446,0.007495793177298455,-0.003824384274131865,1653,1640,1616,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
35,0.7000000000000001,15.19956981810259,6.477612218280173,0.0077969729399174435,-0.0038220455587830607,1655,1641,1617,1628,-1154.9387644212482,24.20459611155675,1149.255400449737,10.870118717476538
