#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.576881484315273,0.00000
#2019/12/12 13:02:01
#E-defense2019-実験後
LEDNo13,　横付け
2722mm
#Xtrue,Ytrue,V1,V2,V3,V4
-625,-625,3182,867,297,710
-625,-625,3182,868,298,710
-625,-625,3183,868,297,710
-625,-625,3182,868,298,710
-625,-625,3183,868,297,710
-625,-625,3182,868,297,710
-625,-625,3183,868,298,710
-625,-625,3182,868,297,710
-625,-625,3182,868,298,710
-625,-625,3182,868,297,710
-625,-625,3182,868,297,710
-625,-625,3182,868,298,710
-625,-625,3182,868,298,710
-625,-625,3182,868,297,710
-625,-625,3182,868,298,710
-625,-625,3183,868,297,710
-625,-625,3182,868,298,710
-625,-625,3182,868,298,710
-625,-625,3182,868,298,710
-625,-625,3182,868,298,710
-500,-625,3072,847,366,967
-500,-625,3071,848,366,967
-500,-625,3072,848,366,967
-500,-625,3071,848,366,967
-500,-625,3071,847,367,967
-500,-625,3072,848,366,967
-500,-625,3072,848,366,967
-500,-625,3072,848,366,968
-500,-625,3072,848,366,967
-500,-625,3071,848,366,967
-500,-625,3072,848,366,967
-500,-625,3072,848,366,968
-500,-625,3072,848,367,968
-500,-625,3072,848,366,967
-500,-625,3072,848,367,967
-500,-625,3072,848,367,967
-500,-625,3072,847,366,968
-500,-625,3072,848,367,968
-500,-625,3072,848,367,967
-500,-625,3072,848,367,967
-375,-625,2893,809,431,1224
-375,-625,2894,809,431,1225
-375,-625,2894,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1224
-375,-625,2893,809,431,1223
-250,-625,2709,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2709,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1492
-250,-625,2710,768,495,1491
-250,-625,2710,768,495,1491
-250,-625,2710,767,495,1491
-250,-625,2710,768,495,1491
-250,-625,2709,768,495,1491
-250,-625,2710,768,495,1491
-125,-625,2517,726,560,1770
