07,002D,0175,0069,0056,00EF
07,002E,018C,006F,005B,00FD
07,002F,0170,006A,0058,00EE
07,0030,019B,0070,005B,0106
07,0031,0197,006F,0059,0102
07,0032,015C,0064,0052,00E1
07,0033,018A,006E,005B,00FD
07,0034,0183,006D,005A,00F8
07,0035,0171,0068,0056,00ED
07,0036,019E,0070,005B,0106
07,0037,017E,006A,0057,00F4
07,0038,0163,0067,0056,00E5
07,0039,0187,006E,005B,00FB
07,003A,018F,006E,005A,00FE
07,003B,0187,006C,0057,00F9
07,003C,0180,006B,0057,00F6
07,003D,0174,006A,0058,00EF
07,003E,018E,006F,005C,00FE
07,003F,0189,006D,0059,00FB
07,0040,0167,0066,0053,00E6
07,0041,019F,0070,005C,0107
07,0042,0181,006C,0059,00F6
07,0043,0166,0068,0057,00E8
07,0044,01A4,0072,005D,010B
07,0045,0175,0068,0055,00EF
07,0046,016F,0068,0055,00EC
07,0047,01A4,0073,005E,010C
07,0048,0170,006A,0057,00ED
07,0049,0166,0067,0055,00E7
07,004A,019C,006F,005A,0106
07,004B,0195,006E,005A,0101
07,004C,0169,0068,0056,00E9
07,004D,017F,006C,005A,00F6
07,004E,0189,006D,0059,00FB
07,004F,016F,0067,0054,00EB
07,0050,01A1,0070,005C,0108
07,0051,019A,0071,005D,0105
07,0052,016B,0069,0057,00EA
07,0053,016A,0067,0055,00E9
07,0054,01A6,0071,005C,010B
07,0055,0176,0069,0056,00F0
07,0056,0168,0068,0056,00E8
07,0057,01AA,0074,005F,010F
07,0058,016A,0068,0055,00E9
07,0059,015D,0064,0052,00E1
07,005A,01AB,0072,005D,010F
07,005B,0189,006E,005A,00FB
07,005C,0168,0068,0056,00E8
07,005D,01A1,0072,005D,010A
07,005E,0180,006A,0056,00F4
07,005F,0165,0066,0053,00E6
07,0060,01A7,0073,005F,010D
07,0061,017D,006C,005A,00F4
07,0062,0165,0067,0055,00E6
07,0063,0194,006E,005A,0101
07,0064,0180,006B,0057,00F5
07,0065,0175,006A,0058,00F0
07,0067,0183,006C,0059,00F7
07,0068,0178,0069,0055,00F1
07,0069,018E,006D,0059,00FD
07,006A,017D,006C,0059,00F4
07,006B,0172,006A,0058,00EF
07,006C,01A2,0072,005D,010A
07,006D,017E,006A,0056,00F3
07,006E,0159,0064,0052,00E0
07,006F,01A8,0073,005E,010D
07,0070,017C,006C,0059,00F3
07,0071,016F,0068,0056,00EC
07,0072,0199,006F,0059,0103
07,0073,0162,0066,0053,00E4
07,0074,018B,006E,005B,00FD
07,0075,019C,0072,005E,0107
07,0076,0170,0069,0056,00EC
07,0077,0187,006C,0058,00F9
07,0078,0184,006B,0057,00F8
07,0079,017B,006B,0059,00F3
07,007B,017C,006B,0058,00F3
07,007C,0189,006C,0057,00FA
07,007D,017F,006A,0057,00F5
07,007E,0170,0069,0057,00ED
07,007F,0182,006D,005A,00F8
07,0080,018C,006E,005A,00FD
07,0081,0172,0068,0055,00ED
07,0082,0181,006B,0057,00F6
07,0083,018C,006E,005B,00FD
07,0084,0176,006B,0058,00F1
07,0085,0194,006F,005B,0101
07,0086,0187,006C,0057,00F9
07,0087,016C,0067,0054,00EA
07,0088,0194,0070,005C,0102
07,0089,018C,006E,005B,00FD
07,008A,015C,0066,0054,00E1
07,008B,019D,0070,005B,0106
07,008C,018D,006D,0059,00FD
07,008D,015C,0066,0055,00E2
07,008E,01A9,0074,0060,010E
07,008F,0179,006A,0058,00F2
07,0090,0163,0065,0052,00E5
07,0091,01A1,0070,005B,0108
07,0092,0187,006D,005A,00FA
07,0093,0163,0068,0056,00E6
07,0094,0198,0070,005C,0104
07,0095,017A,0069,0056,00F1
07,0096,016D,0067,0054,00EA
07,0097,01A3,0073,005E,010A
07,0098,0178,006B,0059,00F2
07,0099,0175,006A,0057,00F0
07,009A,0187,006C,0057,00F9
07,009B,017E,006A,0056,00F4
07,009C,018D,006E,005B,00FD
07,009D,0193,006F,005C,0101
07,009E,0169,0068,0055,00E9
07,009F,017C,0069,0056,00F3
07,00A0,0192,006E,0059,0100
07,00A1,017C,006C,0058,00F3
07,00A2,0187,006E,005B,00FB
07,00A3,017F,006C,0058,00F5
07,00A4,0177,0069,0055,00F0
07,00A5,0183,006B,0057,00F7
07,00A6,017A,006B,0058,00F3
07,00A7,018D,006F,005C,00FE
07,00A8,0185,006D,0059,00F9
07,00A9,0176,0068,0055,00EF
07,00AA,018A,006C,0058,00FB
07,00AB,0179,006A,0058,00F2
07,00AC,0189,006E,005B,00FC
07,00AD,019D,0071,005C,0107
07,00AE,016F,0067,0054,00EA
07,00AF,0166,0066,0053,00E7
07,00B0,0193,006F,005C,0101
07,00B1,019D,0072,005E,0107
07,00B2,0174,006A,0057,00EF
07,00B3,016F,0067,0055,00EC
07,00B4,018F,006D,0059,00FE
07,00B5,0171,0069,0057,00ED
07,00B6,018B,006F,005B,00FE
07,00B7,01A8,0073,005E,010C
07,00B8,0157,0063,0051,00DD
07,00B9,017E,006A,0056,00F4
07,00BA,019E,0071,005D,0107
07,00BB,016A,0068,0057,00E9
07,00BD,0188,006C,0057,00FA
07,00BE,016E,0068,0054,00EB
07,00BF,0189,006D,005A,00FB
07,00C0,0180,006C,005A,00F7
07,00C1,0187,006D,005A,00FB
07,00C2,0181,006A,0056,00F5
07,00C3,0177,0069,0055,00F0
07,00C4,0199,0070,005D,0105
07,00C5,0175,006B,0058,00F0
07,00C6,0172,0069,0057,00EE
07,00C7,01A7,0071,005C,010C
07,00C8,0178,0069,0056,00F1
07,00C9,0167,0067,0055,00E7
07,00CA,018F,006F,005C,0100
07,00CB,017D,006B,0059,00F4
07,00CC,017B,006A,0056,00F3
07,00CD,0195,006E,005A,0102
07,00CE,017F,006B,0059,00F6
07,00CF,0165,0068,0056,00E7
07,00D0,0196,006F,005B,0103
07,00D1,0188,006C,0058,00F9
07,00D2,0177,0069,0055,00F0
07,00D3,019E,0071,005D,0107
07,00D4,0176,006A,0058,00F0
07,00D5,015A,0065,0054,00E0
07,00D6,019D,006F,005A,0106
07,00D7,0198,006F,005A,0103
07,00D8,0164,0067,0055,00E6
07,00D9,0181,006C,005A,00F7
07,00DA,0185,006D,005A,00F9
07,00DB,0185,006C,0057,00F8
07,00DC,017A,0069,0056,00F2
07,00DD,018F,006E,005A,00FE
07,00DE,018D,006E,005B,00FE
07,00DF,015F,0066,0055,00E4
07,00E0,0194,006E,005A,0101
07,00E1,0184,006B,0057,00F7
07,00E2,0175,006A,0057,00F0
07,00E3,019E,0072,005E,0108
07,00E4,0173,006A,0057,00EF
07,00E5,016F,0067,0054,00EB
07,00E6,018C,006D,0058,00FD
07,00E7,0187,006D,0059,00FA
07,00E8,0184,006D,005A,00F9
07,00E9,0178,006B,0058,00F1
07,00EA,018A,006C,0058,00FB
07,00EB,0185,006B,0057,00F8
07,00EC,0163,0066,0055,00E6
07,00ED,019B,0071,005D,0106
07,00EE,0194,006F,005C,0102
07,00EF,0164,0066,0053,00E5
07,00F0,0183,006B,0057,00F7
07,00F1,017B,006B,0058,00F3
07,00F2,018A,006E,005B,00FC
07,00F3,019E,0071,005D,0107
07,00F4,016B,0067,0054,00E9
07,00F5,016B,0067,0054,00E9
07,00F6,0197,0070,005C,0103
07,00F7,018D,006F,005B,00FE
07,00F8,017F,006C,0059,00F6
07,00F9,0179,0069,0056,00F1
07,00FA,0174,0068,0055,00EE
07,00FB,019A,0070,005C,0105
07,00FC,017C,006B,0059,00F5
07,00FD,0172,0069,0057,00EE
07,00FE,0195,006E,005A,0101
07,0100,0178,006A,0057,00F1
07,0101,01A1,0072,005E,010A
07,0102,0166,0067,0056,00E7
07,0103,018F,006D,0059,00FE
07,0104,01A0,0070,005A,0107
07,0105,0148,0062,0051,00D6
07,0106,0193,0070,005C,0102
07,0107,01AC,0074,005F,0110
07,0108,015E,0065,0052,00E2
07,0109,018B,006D,0058,00FC
07,010B,0160,0067,0055,00E4
07,010D,019C,006F,005B,0105
07,010E,016E,0067,0054,00EB
07,010F,017D,006B,0058,00F4
07,0110,017B,006C,0059,00F3
07,0111,018B,006E,005B,00FD
07,0112,018F,006D,0059,00FE
07,0113,0179,0069,0056,00F1
07,0114,017B,006B,0058,00F3
07,0115,0176,006B,0058,00F1
07,0116,019B,0071,005D,0106
07,0117,0194,006E,005A,0100
07,0118,0165,0066,0053,00E6
07,0119,017B,006B,0058,00F4
07,011A,0191,0070,005C,0100
07,011B,017E,006C,0059,00F5
07,011C,018A,006D,0058,00FB
07,011D,017D,006A,0056,00F3
07,011E,0175,0069,0057,00F0
07,011F,018D,006E,005C,00FE
07,0120,0180,006C,0059,00F6
07,0121,0175,0069,0055,00EE
07,0122,018D,006D,0058,00FD
07,0123,0185,006C,0059,00F9
07,0124,017C,006C,0059,00F4
07,0125,0181,006C,0059,00F7
07,0126,017E,006B,0057,00F4
07,0127,018B,006C,0058,00FC
07,0128,0190,006E,005A,00FE
07,0129,0175,006A,0058,00F0
07,012A,0174,006A,0058,00F0
07,012B,018F,006E,0059,00FE
07,012C,0173,0068,0055,00ED
07,012D,018C,006D,005A,00FD
07,012E,0194,0070,005C,0101
07,012F,0165,0067,0056,00E7
07,0130,0185,006B,0057,00F8
07,0131,018D,006D,0058,00FD
07,0132,017E,006B,0058,00F5
07,0133,018A,006E,005B,00FD
07,0134,0184,006D,005A,00F9
07,0135,0167,0066,0054,00E6
07,0136,0195,006E,0059,0101
07,0137,0184,006C,0058,00F8
07,0138,016B,0069,0057,00EA
07,0139,0197,0070,005D,0104
07,013A,0186,006C,0058,00F9
07,013B,0174,0068,0055,00EE
07,013C,0181,006B,0058,00F6
07,013D,0178,006B,0058,00F2
07,013E,0195,0070,005D,0103
07,013F,0195,006E,005A,0101
07,0140,0166,0066,0053,00E6
07,0141,017B,006A,0057,00F3
07,0142,018C,006F,005B,00FD
07,0143,017D,006C,0059,00F5
07,0144,018D,006D,0059,00FD
07,0145,0179,0069,0055,00F1
07,0146,0176,0069,0056,00F0
07,0147,018D,006F,005C,00FE
07,0148,0186,006E,005A,00FA
07,0149,0178,0069,0056,00F1
07,014A,018F,006D,0058,00FE
07,014B,0177,0069,0056,00F0
07,014C,017D,006C,005A,00F5
07,014D,019B,0071,005D,0106
07,014E,0177,0069,0056,00F0
07,014F,0168,0066,0053,00E7
07,0150,0196,006F,005B,0102
07,0151,0183,006D,005A,00F9
07,0152,017A,006B,0059,00F3
07,0153,018D,006D,0059,00FD
07,0154,0172,0068,0054,00ED
07,0155,0180,006B,0058,00F6
07,0156,0194,0070,005C,0102
07,0157,0176,006B,0059,00F1
07,0158,0187,006C,0059,00F9
07,0159,017D,0069,0056,00F3
07,015A,0172,0069,0056,00EE
07,015B,01A0,0072,005E,0109
07,015C,0172,006A,0058,00EF
07,015D,0172,0068,0056,00ED
07,015E,019E,0070,005B,0106
07,015F,0173,0069,0055,00ED
07,0160,017F,006C,0059,00F6
07,0161,019D,0072,005E,0107
07,0162,0166,0066,0054,00E6
07,0163,017F,006A,0056,00F4
07,0164,01A9,0073,005D,010E
07,0165,0166,0068,0056,00E7
07,0166,0170,006A,0058,00ED
07,0167,01A9,0072,005D,010E
07,0168,0175,0068,0055,00EE
07,0169,016B,0067,0055,00E9
07,016A,0192,006F,005C,0101
07,016B,0188,006E,005B,00FB
07,016C,0174,0069,0056,00EE
07,016D,018C,006C,0058,00FC
07,016E,018A,006D,0059,00FB
07,016F,0165,0068,0056,00E7
07,0170,0193,0070,005D,0101
07,0171,0198,006F,005B,0103
07,0172,0165,0066,0053,00E5
07,0173,017D,006B,0057,00F4
07,0174,01A7,0073,005F,010D
07,0175,016C,0068,0057,00EB
07,0176,0169,0067,0055,00E9
07,0177,01AC,0073,005C,010F
07,0178,0166,0066,0054,00E7
07,0179,016F,0069,0057,00ED
07,017A,01C0,0078,0062,011C
07,017B,0165,0066,0054,00E5
07,017C,0155,0063,0050,00DC
07,017D,01B8,0075,005F,0116
07,017F,0158,0065,0054,00DF
07,0180,0197,006F,005B,0103
07,0181,0182,006B,0056,00F6
07,0182,0172,0068,0056,00EE
07,0183,019E,0072,005E,0108
07,0184,0179,006C,0058,00F2
07,0185,016E,0068,0055,00EB
07,0188,016D,0069,0057,00EB
07,0189,0182,006D,005A,00F8
07,018A,0197,006F,005B,0104
07,018B,0173,0068,0054,00ED
07,018C,0171,0068,0055,00EC
07,018D,019B,0071,005D,0106
07,018E,017B,006C,0059,00F4
07,018F,016E,0068,0055,00EB
07,0190,019F,0070,005A,0106
07,0191,017B,006A,0056,00F2
07,0192,0164,0067,0056,00E6
07,0193,01A7,0073,005F,010E
07,0194,0194,006F,005B,0100
07,0195,014F,0062,0050,00D9
07,0196,0198,006F,005B,0104
07,0197,01A3,0072,005E,010A
07,0198,0156,0065,0054,00DE
07,0199,0187,006C,0059,00FA
