0E,1C80,067C,064D,0632,065F
0E,1C81,067C,064C,0632,065E
0E,1C82,067A,064A,0630,065E
0E,1C83,0678,0649,062F,065C
0E,1C84,067A,064A,0631,065E
0E,1C85,067C,064C,0631,065F
0E,1C86,067A,064B,0630,065E
0E,1C87,067A,064A,062F,065C
0E,1C88,0679,0649,062E,065C
0E,1C89,067B,064B,0630,065E
0E,1C8A,067D,064D,0631,065F
0E,1C8B,067C,064B,0630,065E
0E,1C8C,0679,0649,062F,065D
0E,1C8D,0679,064A,062E,065C
0E,1C8E,067B,064B,0630,065E
0E,1C8F,067C,064B,0631,065F
0E,1C90,067B,064B,0630,065E
0E,1C91,067A,064A,062F,065C
0E,1C92,0678,0648,062E,065C
0E,1C93,067B,064B,0630,065E
0E,1C94,067C,064B,0630,065F
0E,1C95,067B,064B,0630,065E
0E,1C96,067B,064A,062F,065D
0E,1C97,0679,0649,062E,065C
0E,1C98,067A,064B,0630,065E
0E,1C99,067C,064C,0631,065F
0E,1C9A,067C,064B,0631,065E
0E,1C9B,067A,0649,062F,065D
0E,1C9C,0679,0649,062E,065C
0E,1C9D,067B,064B,062F,065D
0E,1C9E,067C,064C,0631,065F
0E,1C9F,067C,064B,0630,065E
0E,1CA0,067B,064A,0630,065D
0E,1CA1,0678,0649,062E,065C
0E,1CA2,067B,064B,0630,065E
0E,1CA3,067D,064C,0631,065F
0E,1CA4,067B,064B,0630,065E
0E,1CA5,067A,064A,062F,065D
0E,1CA6,0679,0649,062F,065B
0E,1CA7,067B,064A,0630,065E
0E,1CA8,067C,064B,0632,0660
0E,1CA9,067B,064B,0631,065E
0E,1CAA,067A,0649,062F,065C
0E,1CAB,0679,0649,062E,065C
0E,1CAC,067B,064A,0630,065F
0E,1CAD,067D,064B,0631,065F
0E,1CAE,067C,064B,0631,065F
0E,1CAF,067A,064A,062F,065D
0E,1CB0,0679,0649,062E,065B
0E,1CB1,067B,064B,0630,065E
0E,1CB2,067C,064C,0632,065F
0E,1CB3,067C,064B,0630,065F
0E,1CB4,0679,064A,062F,065D
0E,1CB5,0679,0649,062F,065C
0E,1CB6,067B,064B,0630,065E
0E,1CB7,067B,064B,0631,065F
0E,1CB8,067B,064B,0630,065D
0E,1CB9,067A,0649,062F,065D
0E,1CBA,0678,0648,062E,065C
0E,1CBB,067B,064B,0630,065E
0E,1CBC,067C,064B,0630,065F
0E,1CBD,067B,064B,0630,065E
0E,1CBE,0679,0649,062F,065C
0E,1CBF,0678,0648,062E,065B
0E,1CC0,067B,064A,0630,065E
0E,1CC1,067C,064C,0631,065F
0E,1CC2,067B,064B,0630,065D
0E,1CC3,0679,0649,062E,065D
0E,1CC4,0678,0649,062F,065C
0E,1CC5,067B,064A,0630,065F
0E,1CC6,067C,064B,0630,0660
0E,1CC7,067B,064A,0631,065E
0E,1CC8,0679,064A,062E,065C
0E,1CC9,0679,0649,062D,065B
0E,1CCA,067B,064B,0631,065E
0E,1CCB,067C,064B,0631,065F
0E,1CCC,067C,064A,0630,065E
0E,1CCD,0679,064A,062F,065D
0E,1CCE,0679,0649,062F,065C
0E,1CCF,067B,064B,0630,065E
0E,1CD0,067C,064C,0631,065E
0E,1CD1,067B,064B,0630,065E
0E,1CD2,067A,0649,062F,065D
0E,1CD3,0678,0648,062F,065C
0E,1CD4,067B,064A,0630,065E
0E,1CD5,067C,064C,0631,065F
0E,1CD6,067B,064B,0630,065E
0E,1CD7,0679,0649,062F,065D
0E,1CD8,0679,0649,062E,065C
0E,1CD9,067B,064B,0630,065F
0E,1CDA,067C,064C,0631,065F
0E,1CDB,067C,064B,0630,065E
0E,1CDC,0679,064A,0630,065D
0E,1CDD,0679,0649,062F,065C
0E,1CDE,067C,064B,0630,065F
0E,1CDF,067D,064D,0630,065F
0E,1CE0,067C,064B,0631,065E
0E,1CE1,067A,064A,062F,065C
0E,1CE2,0679,0649,062E,065D
0E,1CE3,067B,064B,0631,065F
0E,1CE4,067D,064C,0630,065F
0E,1CE5,067B,064B,0630,065E
0E,1CE6,067A,064A,062F,065C
0E,1CE7,0679,064A,062E,065B
0E,1CE8,067B,064B,0630,065E
0E,1CE9,067C,064B,0631,065F
0E,1CEA,067B,064A,0630,065D
0E,1CEB,067A,064A,0630,065D
0E,1CEC,0679,0649,062F,065D
0E,1CED,067B,064C,0631,065E
0E,1CEE,067D,064C,0631,065E
0E,1CEF,067B,064A,0630,065F
0E,1CF0,067A,064A,062F,065D
0E,1CF1,0679,0648,062E,065C
0E,1CF2,067B,064B,0630,065E
0E,1CF3,067B,064C,0631,065F
0E,1CF4,067B,064B,062F,065D
0E,1CF5,067A,0649,062E,065C
0E,1CF6,0678,0649,062E,065C
0E,1CF7,067C,064B,0630,065E
0E,1CF8,067D,064B,0630,065F
0E,1CF9,067B,064B,0630,065E
0E,1CFA,067A,064A,062F,065C
0E,1CFB,067A,0649,062E,065C
0E,1CFC,067C,064B,0631,065E
0E,1CFD,067D,064C,0631,065F
0E,1CFE,067B,064B,0630,065E
0E,1CFF,067A,064A,0630,065D
0E,1D00,0679,064A,062E,065C
0E,1D01,067B,064B,0631,065F
0E,1D02,067C,064B,0631,065F
0E,1D03,067B,064B,0630,065E
0E,1D04,067A,0649,062E,065C
0E,1D05,0678,0648,062E,065C
0E,1D06,067C,064C,0631,065F
0E,1D07,067D,064C,0631,0660
0E,1D08,067A,064A,0631,065E
0E,1D09,067A,064A,062E,065C
0E,1D0A,0679,0649,062E,065D
0E,1D0B,067B,064B,0631,065F
0E,1D0C,067D,064C,0631,065F
0E,1D0D,067C,064B,0630,065E
0E,1D0E,067A,0649,062F,065D
0E,1D0F,0678,0649,062F,065C
0E,1D10,067C,064C,0631,065E
0E,1D11,067C,064B,0631,0660
0E,1D12,067A,064B,0630,065D
0E,1D13,0679,064A,062F,065C
0E,1D14,0678,0649,062E,065C
0E,1D15,067D,064B,0630,065E
0E,1D16,067D,064C,0631,065F
0E,1D17,067B,064B,062F,065E
0E,1D18,067A,064A,062F,065C
0E,1D19,067A,064A,062F,065C
0E,1D1A,067B,064B,0631,065F
0E,1D1B,067C,064B,0630,065F
0E,1D1C,067B,064B,0630,065E
0E,1D1D,0679,0649,062F,065C
0E,1D1E,0678,0649,062E,065C
0E,1D1F,067C,064B,0630,065E
0E,1D20,067D,064B,0631,0660
0E,1D21,067B,064B,0630,065E
0E,1D22,067A,0649,062E,065C
0E,1D23,067A,0649,062E,065C
0E,1D24,067B,064B,0630,065E
0E,1D25,067C,064C,0631,065F
0E,1D26,067B,064B,0630,065E
0E,1D27,067A,0649,062E,065C
0E,1D28,0679,0649,062F,065C
0E,1D29,067C,064B,0630,065E
0E,1D2A,067C,064B,0631,065F
0E,1D2B,067B,064C,0630,065D
0E,1D2C,0679,064A,062F,065D
0E,1D2D,0678,0648,062E,065C
0E,1D2E,067C,064C,0630,065E
0E,1D2F,067C,064C,0631,065F
0E,1D30,067A,064A,0630,065D
0E,1D31,0679,064A,062F,065C
0E,1D32,0679,0649,062E,065B
0E,1D33,067B,064B,0630,065E
0E,1D34,067D,064C,0631,0660
0E,1D35,067C,064C,0630,065E
0E,1D36,0679,0649,062F,065D
0E,1D37,0678,0648,062E,065C
0E,1D38,067B,064A,0630,065E
0E,1D39,067C,064B,0631,065F
0E,1D3A,067B,064B,0631,065E
0E,1D3B,0679,0649,062F,065C
0E,1D3C,0679,0648,062E,065D
0E,1D3D,067B,064B,0630,065E
0E,1D3E,067C,064B,0630,065F
0E,1D3F,067B,064A,0631,065F
0E,1D40,0679,064A,062F,065D
0E,1D41,067A,064A,062E,065B
0E,1D42,067B,064B,0630,065E
0E,1D43,067B,064C,0632,065F
0E,1D44,067B,064A,0631,065E
0E,1D45,0679,0648,062E,065C
0E,1D46,0678,0648,062E,065C
0E,1D47,067A,064B,0630,065E
0E,1D48,067C,064C,0630,065F
0E,1D49,067A,064B,0630,065D
0E,1D4A,0679,0649,062F,065C
0E,1D4B,067A,0649,062F,065C
0E,1D4C,067C,064B,0631,065F
0E,1D4D,067C,064C,0632,065F
0E,1D4E,067B,064B,0630,065E
0E,1D4F,067A,0649,062F,065D
0E,1D50,0679,0649,062F,065C
0E,1D51,067C,064C,0631,065F
0E,1D52,067D,064C,0631,0660
0E,1D53,067B,064B,0631,065E
0E,1D54,067A,064A,062F,065C
