0D,1C80,0645,0640,066A,066F
0D,1C81,0645,063F,0669,066E
0D,1C82,0642,063D,0668,066D
0D,1C83,0641,063D,0666,066B
0D,1C84,0644,063E,0668,066E
0D,1C85,0645,0640,066A,0670
0D,1C86,0643,0640,0669,066E
0D,1C87,0643,063E,0668,066D
0D,1C88,0642,063D,0666,066D
0D,1C89,0644,063F,0669,066E
0D,1C8A,0646,0640,066A,0670
0D,1C8B,0644,063E,0669,066F
0D,1C8C,0642,063D,0667,066D
0D,1C8D,0641,063D,0665,066C
0D,1C8E,0643,063D,0668,066E
0D,1C8F,0645,063F,0669,066F
0D,1C90,0644,063F,0669,066E
0D,1C91,0642,063E,0668,066C
0D,1C92,0641,063D,0667,066C
0D,1C93,0644,0640,0669,066E
0D,1C94,0644,0641,066A,066F
0D,1C95,0644,063F,0669,066F
0D,1C96,0643,063F,0667,066D
0D,1C97,0642,063D,0666,066C
0D,1C98,0644,063E,0668,066E
0D,1C99,0645,0640,066A,066F
0D,1C9A,0644,063F,0668,066E
0D,1C9B,0643,063D,0667,066D
0D,1C9C,0643,063C,0666,066D
0D,1C9D,0645,063E,0668,066F
0D,1C9E,0645,0640,0669,0670
0D,1C9F,0644,063F,0669,066E
0D,1CA0,0643,063D,0667,066C
0D,1CA1,0641,063C,0665,066C
0D,1CA2,0645,063F,0667,066E
0D,1CA3,0645,063F,0669,066F
0D,1CA4,0644,063F,0668,066D
0D,1CA5,0642,063E,0667,066D
0D,1CA6,0643,063C,0666,066C
0D,1CA7,0644,063E,0669,066F
0D,1CA8,0645,0640,0669,0670
0D,1CA9,0644,063F,0669,066E
0D,1CAA,0642,063E,0667,066C
0D,1CAB,0641,063D,0666,066C
0D,1CAC,0643,063F,0669,066E
0D,1CAD,0645,0640,0669,066F
0D,1CAE,0644,063F,0668,066E
0D,1CAF,0642,063E,0667,066D
0D,1CB0,0641,063C,0666,066B
0D,1CB1,0643,063E,0668,066E
0D,1CB2,0644,063F,066A,066F
0D,1CB3,0644,063E,0668,066F
0D,1CB4,0643,063D,0666,066D
0D,1CB5,0642,063D,0666,066B
0D,1CB6,0644,063F,0669,066F
0D,1CB7,0645,0640,0669,066F
0D,1CB8,0644,063E,0669,066E
0D,1CB9,0643,063D,0666,066D
0D,1CBA,0641,063C,0666,066C
0D,1CBB,0644,063F,0668,066E
0D,1CBC,0645,0640,0669,066E
0D,1CBD,0644,063F,0669,066E
0D,1CBE,0642,063D,0667,066D
0D,1CBF,0641,063C,0666,066B
0D,1CC0,0644,063F,0668,066E
0D,1CC1,0645,0640,066A,066F
0D,1CC2,0644,063F,0668,066E
0D,1CC3,0642,063E,0667,066C
0D,1CC4,0641,063D,0666,066C
0D,1CC5,0644,063F,0669,066E
0D,1CC6,0645,0640,066A,066F
0D,1CC7,0644,063E,0669,066F
0D,1CC8,0643,063E,0666,066C
0D,1CC9,0641,063C,0665,066C
0D,1CCA,0644,063F,0668,066E
0D,1CCB,0645,0640,066A,0670
0D,1CCC,0644,063E,0668,066E
