0C,084B,0620,0630,0666,0658
0C,084C,061F,062F,0665,0656
0C,084D,061E,062D,0664,0655
0C,084E,061D,062E,0665,0656
0C,084F,0620,0630,0666,0657
0C,0850,0620,0630,0666,0658
0C,0851,061E,062F,0665,0656
0C,0852,061E,062E,0664,0655
0C,0853,061E,062E,0665,0656
0C,0854,0620,0630,0666,0657
0C,0855,0620,0631,0666,0657
0C,0856,061F,062F,0666,0656
0C,0857,061D,062D,0664,0655
0C,0858,061E,062E,0665,0655
0C,0859,0620,0630,0666,0657
0C,085A,061F,0630,0666,0657
0C,085B,061E,062F,0666,0656
0C,085C,061E,062D,0665,0655
0C,085D,061D,062F,0665,0655
0C,085E,0620,0630,0666,0658
0C,085F,0620,0630,0666,0658
0C,0860,061F,062F,0666,0656
0C,0861,061D,062D,0665,0655
0C,0862,061D,062D,0664,0655
0C,0863,0620,0630,0666,0657
0C,0864,0620,0631,0666,0657
0C,0865,061F,062E,0665,0656
0C,0866,061D,062D,0665,0655
0C,0867,061E,062E,0665,0655
0C,0868,0620,062F,0666,0657
0C,0869,061F,0630,0666,0658
0C,086A,061E,062E,0665,0656
0C,086B,061D,062D,0664,0655
0C,086C,061D,062E,0665,0655
0C,086D,0620,0630,0666,0658
0C,086E,0620,0630,0666,0657
0C,086F,061E,062F,0666,0656
0C,0870,061E,062D,0664,0654
0C,0871,061E,062E,0665,0656
0C,0872,061F,0630,0666,0657
0C,0873,0620,0631,0666,0657
0C,0874,061F,062E,0665,0656
0C,0875,061D,062D,0665,0655
0C,0876,061E,062D,0664,0655
0C,0877,0620,0630,0666,0658
0C,0878,0620,0630,0666,0657
0C,0879,061F,062E,0665,0656
0C,087A,061D,062D,0664,0655
0C,087B,061E,062E,0665,0656
0C,087C,0620,0630,0666,0658
0C,087D,0620,0630,0666,0658
0C,087E,061F,062E,0665,0657
0C,087F,061E,062D,0665,0655
0C,0880,061E,062D,0664,0655
0C,0881,061F,0630,0666,0657
0C,0882,0620,0631,0666,0657
0C,0883,061E,062E,0666,0656
0C,0884,061D,062D,0665,0655
0C,0885,061E,062D,0665,0656
0C,0886,0620,0630,0666,0658
0C,0887,0620,0631,0666,0657
0C,0888,061F,062F,0665,0657
0C,0889,061E,062D,0665,0655
0C,088A,061D,062E,0665,0655
0C,088B,0620,0630,0667,0657
0C,088C,0620,0630,0666,0657
0C,088D,061E,062F,0666,0656
0C,088E,061D,062E,0665,0655
0C,088F,061D,062D,0664,0655
0C,0890,061F,0630,0666,0657
0C,0891,0620,0631,0666,0658
0C,0892,061E,062F,0666,0656
0C,0893,061D,062E,0665,0655
0C,0894,061D,062D,0664,0655
0C,0895,0620,0630,0666,0657
0C,0896,0620,0630,0666,0657
0C,0897,061F,062F,0666,0657
0C,0898,061E,062D,0664,0655
0C,0899,061E,062E,0664,0655
0C,089A,061F,0630,0666,0658
0C,089B,0620,0630,0666,0658
0C,089C,061F,062F,0665,0657
0C,089D,061D,062D,0664,0655
0C,089E,061D,062D,0665,0656
0C,089F,061F,0630,0666,0657
0C,08A0,0620,0630,0666,0657
0C,08A1,061E,062F,0666,0656
0C,08A2,061E,062D,0664,0655
0C,08A3,061E,062E,0664,0655
0C,08A4,0620,0630,0666,0657
0C,08A5,0620,0631,0666,0658
0C,08A6,061F,062F,0666,0656
0C,08A7,061D,062D,0664,0655
0C,08A8,061D,062E,0665,0655
0C,08A9,0620,0630,0666,0657
0C,08AA,0620,0630,0666,0657
0C,08AB,061F,062F,0665,0656
0C,08AC,061E,062D,0665,0655
0C,08AD,061D,062D,0664,0655
0C,08AE,0620,0631,0666,0657
0C,08AF,0620,0631,0666,0658
0C,08B0,061F,062F,0666,0656
0C,08B1,061D,062D,0665,0655
0C,08B2,061D,062D,0664,0655
