0C,1C80,05F5,0647,0689,0636
0C,1C81,05F5,0646,0688,0635
0C,1C82,05F3,0644,0688,0634
0C,1C83,05F3,0644,0687,0633
0C,1C84,05F5,0645,0687,0635
0C,1C85,05F6,0647,0688,0636
0C,1C86,05F4,0647,0688,0635
0C,1C87,05F4,0645,0687,0633
0C,1C88,05F3,0644,0686,0633
0C,1C89,05F5,0646,0687,0635
0C,1C8A,05F6,0648,0688,0635
0C,1C8B,05F5,0646,0688,0635
0C,1C8C,05F4,0645,0687,0634
0C,1C8D,05F3,0644,0686,0633
0C,1C8E,05F4,0646,0688,0635
0C,1C8F,05F6,0647,0689,0636
0C,1C90,05F5,0646,0688,0635
0C,1C91,05F4,0645,0687,0634
0C,1C92,05F2,0643,0687,0634
0C,1C93,05F5,0646,0688,0635
0C,1C94,05F6,0647,0689,0636
0C,1C95,05F5,0647,0688,0634
0C,1C96,05F4,0645,0687,0633
0C,1C97,05F3,0644,0686,0633
0C,1C98,05F4,0646,0687,0635
0C,1C99,05F5,0647,0689,0636
0C,1C9A,05F5,0647,0688,0635
0C,1C9B,05F3,0645,0687,0634
0C,1C9C,05F3,0644,0687,0633
0C,1C9D,05F5,0646,0687,0634
0C,1C9E,05F5,0647,0689,0636
0C,1C9F,05F5,0647,0688,0634
0C,1CA0,05F4,0645,0687,0634
0C,1CA1,05F3,0644,0686,0633
0C,1CA2,05F6,0646,0687,0635
0C,1CA3,05F6,0648,0688,0636
0C,1CA4,05F5,0646,0687,0635
0C,1CA5,05F3,0645,0687,0633
0C,1CA6,05F3,0644,0687,0633
0C,1CA7,05F4,0645,0688,0635
0C,1CA8,05F5,0647,0688,0636
0C,1CA9,05F5,0647,0688,0634
0C,1CAA,05F4,0644,0687,0633
0C,1CAB,05F2,0644,0686,0633
0C,1CAC,05F5,0646,0687,0635
0C,1CAD,05F6,0647,0688,0635
0C,1CAE,05F5,0647,0687,0635
0C,1CAF,05F4,0645,0687,0634
0C,1CB0,05F4,0643,0686,0633
0C,1CB1,05F5,0646,0687,0635
0C,1CB2,05F6,0647,0689,0636
