0B,1C7F,06C2,0653,0601,066B
0B,1C80,06C3,0654,0600,0669
0B,1C81,06C2,0653,05FD,0667
0B,1C82,06C1,0652,05FD,0666
0B,1C83,06C2,0653,05FE,0668
0B,1C84,06C5,0655,05FF,0669
0B,1C85,06C5,0655,05FF,0669
0B,1C86,06C4,0655,05FD,0666
0B,1C87,06C4,0654,05FC,0667
0B,1C88,06C3,0655,05FE,0668
0B,1C89,06C4,0656,05FF,0669
0B,1C8A,06C5,0655,05FF,0669
0B,1C8B,06C3,0653,05FE,0668
0B,1C8C,06C2,0653,05FD,0667
0B,1C8D,06C2,0653,0600,066A
0B,1C8E,06C3,0654,0600,066A
0B,1C8F,06C2,0654,05FF,0669
0B,1C90,06C1,0653,05FD,0666
0B,1C91,06C1,0653,05FE,0666
0B,1C92,06C3,0654,05FF,0668
0B,1C93,06C5,0656,0600,066B
0B,1C94,06C3,0655,05FF,0668
0B,1C95,06C3,0653,05FD,0666
0B,1C96,06C2,0653,05FC,0666
0B,1C97,06C2,0654,05FD,0667
0B,1C98,06C4,0655,0600,066A
0B,1C99,06C4,0654,05FF,0669
0B,1C9A,06C3,0653,05FD,0667
0B,1C9B,06C2,0653,05FD,0666
0B,1C9C,06C3,0653,05FE,0669
0B,1C9D,06C4,0654,0600,066B
0B,1C9E,06C4,0655,05FF,0669
0B,1C9F,06C3,0653,05FD,0667
0B,1CA0,06C2,0652,05FC,0667
0B,1CA1,06C3,0654,05FE,0669
0B,1CA2,06C5,0655,05FF,0669
0B,1CA3,06C4,0654,05FE,0669
0B,1CA4,06C3,0655,05FE,0667
0B,1CA5,06C2,0653,05FD,0666
0B,1CA6,06C2,0653,05FE,0668
0B,1CA7,06C2,0654,0601,066A
0B,1CA8,06C4,0655,05FF,0669
0B,1CA9,06C3,0654,05FD,0666
0B,1CAA,06C2,0653,05FD,0666
0B,1CAB,06C3,0654,05FF,0669
0B,1CAC,06C4,0656,0600,066A
0B,1CAD,06C3,0655,05FF,0669
0B,1CAE,06C3,0653,05FD,0666
