,T [s],r_x,r_y,x_raw,y_raw,V1(Y1),V2(X2),V3(Y2),V4(X1),x-axis coefficient: a,x-axis offset: b,y-axis coefficient: a,y-axis offset: b
0,0.0,62.81614014855154,-35.56387526588941,0.01989205859676176,-0.016808018504240557,1681,1626,1562,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
1,0.02,62.81614014855154,-35.56387526588941,0.01989205859676176,-0.016808018504240557,1681,1626,1562,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
2,0.04,63.85620444817281,-35.03883445396274,0.01925743336928054,-0.016484362964104143,1681,1627,1565,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
3,0.06,64.1231500457779,-34.77667787363133,0.019094548814290114,-0.01632275947028026,1681,1628,1566,1619,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
4,0.08,64.11350945290665,-35.284595346446054,0.019100431300061615,-0.0166358595194085,1681,1627,1565,1619,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
5,0.1,62.5684892995973,-35.30956023133053,0.020043169904409498,-0.016651248843663275,1681,1627,1562,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
6,0.12,62.806082960719586,-35.071833102326316,0.01989819527996298,-0.016504704612062316,1680,1626,1562,1615,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
7,0.14,64.10386291822162,-34.792997826227506,0.019106317411402157,-0.01633281972265023,1680,1627,1565,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
8,0.16,64.38029510276552,-34.522836439180736,0.018937644341801386,-0.016166281755196306,1681,1628,1567,1619,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
9,0.18,63.093777383137194,-34.792997826227506,0.019722650231124808,-0.01633281972265023,1681,1628,1564,1617,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
10,0.2,63.06386738579972,-34.817515509484664,0.01974090067859346,-0.01634793337446021,1680,1626,1563,1615,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
11,0.22,63.81725913266126,-35.071833102326316,0.019281196976708315,-0.016504704612062316,1679,1625,1563,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
12,0.24,64.60890568576383,-35.29291184584825,0.018798151001540832,-0.016640986132511557,1680,1626,1565,1619,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
13,0.26,64.62788173061759,-35.276283969618184,0.018786572220511243,-0.016630736064059133,1681,1627,1566,1620,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
14,0.28,64.36116940909547,-34.538997450829385,0.018949314435372053,-0.016176244030195654,1680,1627,1566,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
15,0.3,63.32157230912964,-35.06357580754884,0.019583654587509637,-0.016499614494988435,1680,1626,1563,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
16,0.32,63.31167104669042,-35.57228690262535,0.019589696128335648,-0.01681320376368965,1680,1625,1562,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
17,0.34,64.09421043622791,-35.30123347256204,0.01911220715166461,-0.016646115906288533,1680,1626,1564,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
18,0.36,64.1231500457779,-35.77589006560503,0.019094548814290114,-0.016938712657838004,1682,1627,1565,1620,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
19,0.38,63.351239487250155,-35.5386714570961,0.01956555230318903,-0.016792481898012634,1682,1627,1564,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
20,0.4,63.06386738579972,-35.31789212690271,0.01974090067859346,-0.016656384947563233,1680,1626,1562,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
21,0.42,62.30049487474874,-35.57228690262535,0.020206694431590313,-0.01681320376368965,1681,1626,1561,1615,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
22,0.44,63.598820150679416,-35.29291184584825,0.01941448382126348,-0.016640986132511557,1681,1627,1564,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
23,0.46,64.1231500457779,-35.77589006560503,0.019094548814290114,-0.016938712657838004,1682,1627,1565,1620,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
24,0.48,63.351239487250155,-35.5386714570961,0.01956555230318903,-0.016792481898012634,1682,1627,1564,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
25,0.5,63.07384353353948,-35.30956023133053,0.019734813444341658,-0.016651248843663275,1681,1626,1563,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
26,0.52,63.81725913266126,-35.071833102326316,0.019281196976708315,-0.016504704612062316,1679,1625,1563,1616,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
27,0.54,63.846477121910624,-35.54706754791773,0.019263368777931885,-0.016797657574356605,1681,1626,1564,1618,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
28,0.56,64.11350945290665,-35.284595346446054,0.019100431300061615,-0.0166358595194085,1681,1627,1565,1619,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
