#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.570052845792437,0.00000
#2019/11/09 13:36:33
#E-defense2019-実験前
LEDNo11,　横付け
2707mm
#Xtrue,Ytrue,V1,V2,V3,V4
-625,-625,3335,895,309,759
-625,-625,3335,895,310,759
-625,-625,3335,895,309,758
-625,-625,3334,895,309,759
-625,-625,3335,895,309,759
-625,-625,3334,895,309,759
-625,-625,3335,895,310,759
-625,-625,3335,895,310,758
-625,-625,3335,895,309,758
-625,-625,3335,895,309,759
-625,-625,3334,895,310,759
-625,-625,3334,895,309,758
-625,-625,3334,895,310,758
-625,-625,3335,895,309,759
-625,-625,3335,895,309,759
-625,-625,3335,894,310,759
-625,-625,3334,895,309,758
-625,-625,3335,895,309,759
-625,-625,3335,895,310,759
-625,-625,3335,895,309,759
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,370,1008
-500,-625,3144,854,371,1009
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1009
-500,-625,3144,854,371,1008
-500,-625,3144,854,370,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,370,1008
-500,-625,3144,854,370,1008
-500,-625,3144,854,371,1008
-500,-625,3144,854,370,1008
-500,-625,3143,854,371,1008
-500,-625,3144,854,370,1008
-375,-625,2932,808,432,1261
-375,-625,2931,809,432,1261
-375,-625,2932,808,432,1262
-375,-625,2931,808,432,1261
-375,-625,2932,808,432,1261
-375,-625,2932,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2932,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2932,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2932,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2931,808,432,1260
-375,-625,2932,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2931,808,432,1261
-375,-625,2931,808,432,1261
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1522
-250,-625,2714,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1522
-250,-625,2715,763,494,1523
-250,-625,2714,763,495,1522
-250,-625,2714,763,495,1522
-250,-625,2715,763,495,1522
-250,-625,2714,763,495,1522
-250,-625,2715,763,495,1522
-250,-625,2715,763,495,1523
-250,-625,2715,763,495,1523
-250,-625,2714,763,495,1522
-250,-625,2715,763,495,1522
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,717,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,717,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,717,558,1787
-125,-625,2489,716,557,1787
-125,-625,2489,717,557,1787
-125,-625,2488,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,558,1788
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2489,716,557,1787
-125,-625,2488,717,557,1787
0,-625,2248,666,617,2047
0,-625,2248,666,617,2046
0,-625,2248,666,617,2046
0,-625,2248,666,617,2046
0,-625,2249,666,617,2046
0,-625,2248,666,617,2046
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2046
0,-625,2248,666,617,2046
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2046
0,-625,2248,666,617,2046
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
0,-625,2248,666,617,2047
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,669,2287
125,-625,1990,609,670,2287
125,-625,1990,609,669,2287
125,-625,1990,609,669,2287
125,-625,1990,609,669,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,669,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
125,-625,1990,609,670,2287
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1723,547,715,2505
250,-625,1724,547,715,2505
250,-625,1723,547,715,2505
250,-625,1723,547,715,2504
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1723,547,715,2505
250,-625,1723,547,715,2505
250,-625,1724,547,716,2505
250,-625,1723,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
250,-625,1724,547,715,2505
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2713
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2713
375,-625,1464,485,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2714
375,-625,1464,484,755,2713
375,-625,1464,484,756,2713
375,-625,1464,484,755,2714
500,-625,1208,420,791,2915
500,-625,1208,419,791,2915
500,-625,1208,420,791,2915
500,-625,1208,419,792,2915
500,-625,1207,420,792,2915
500,-625,1208,420,791,2915
500,-625,1208,419,791,2915
500,-625,1208,420,791,2915
500,-625,1208,420,791,2915
500,-625,1208,420,791,2915
500,-625,1208,420,791,2915
500,-625,1208,420,791,2915
