#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.571165141584672,0.00000
#2019/11/07 16:43:46
#E-defense2019-実験前
LEDNo17,　横付け
2715mm
#Xtrue,Ytrue,V1,V2,V3,V4
-625,-625,2881,705,251,657
-625,-625,2881,705,250,657
-625,-625,2881,705,251,658
-625,-625,2881,705,251,657
-625,-625,2881,704,250,657
-625,-625,2881,704,251,657
-625,-625,2881,705,250,657
-625,-625,2881,705,250,657
-625,-625,2881,705,251,657
-625,-625,2881,705,251,657
-625,-625,2881,705,251,657
-625,-625,2881,705,250,658
-625,-625,2881,705,250,657
-625,-625,2881,705,250,657
-625,-625,2881,705,250,658
-625,-625,2881,705,251,658
-625,-625,2881,705,251,657
-625,-625,2881,705,251,657
-625,-625,2881,705,251,657
-625,-625,2881,705,251,658
-500,-625,2769,691,309,894
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2768,690,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,690,309,895
-500,-625,2769,690,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2769,691,309,895
-500,-625,2770,691,309,895
-500,-625,2769,691,309,894
-500,-625,2769,690,309,895
-500,-625,2769,691,309,895
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2621,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2621,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,365,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,366,1136
-375,-625,2620,667,365,1136
-375,-625,2620,667,366,1136
-375,-625,2621,667,366,1136
-250,-625,2428,633,419,1371
-250,-625,2427,633,418,1371
-250,-625,2428,633,419,1371
-250,-625,2428,633,419,1371
-250,-625,2428,634,419,1371
-250,-625,2428,633,419,1371
-250,-625,2428,633,419,1371
-250,-625,2428,633,418,1371
-250,-625,2428,633,418,1371
-250,-625,2428,633,419,1371
-250,-625,2428,634,419,1371
-250,-625,2428,633,418,1371
-250,-625,2428,633,418,1371
-250,-625,2428,633,419,1371
-250,-625,2427,633,419,1371
-250,-625,2427,633,419,1371
-250,-625,2428,634,418,1371
-250,-625,2427,633,418,1371
-250,-625,2428,633,419,1371
-250,-625,2428,634,419,1371
-125,-625,2207,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2206,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2206,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2206,592,466,1595
-125,-625,2207,592,466,1595
-125,-625,2207,592,467,1595
-125,-625,2207,592,466,1595
-125,-625,2206,592,466,1594
-125,-625,2207,592,466,1595
-125,-625,2206,592,466,1595
-125,-625,2207,592,467,1595
-125,-625,2206,592,466,1595
-125,-625,2206,592,467,1595
-125,-625,2207,592,466,1595
-125,-625,2207,592,467,1595
0,-625,1976,546,510,1811
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1811
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1811
0,-625,1977,547,510,1811
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1812
0,-625,1977,547,510,1811
0,-625,1977,547,510,1812
125,-625,1750,501,553,2030
125,-625,1750,502,553,2030
125,-625,1751,501,553,2030
125,-625,1750,502,553,2030
125,-625,1751,502,552,2030
125,-625,1751,501,553,2030
125,-625,1750,502,553,2030
125,-625,1750,501,553,2030
125,-625,1750,501,553,2029
125,-625,1750,502,553,2030
125,-625,1750,501,553,2030
125,-625,1750,502,553,2030
125,-625,1750,502,553,2030
125,-625,1750,502,553,2030
125,-625,1751,501,553,2030
125,-625,1750,501,553,2029
125,-625,1750,501,553,2029
125,-625,1750,501,553,2030
125,-625,1750,502,553,2030
125,-625,1750,502,552,2030
250,-625,1528,455,595,2249
250,-625,1527,455,595,2250
250,-625,1527,456,595,2249
250,-625,1527,455,595,2249
250,-625,1528,455,595,2250
250,-625,1528,455,595,2250
250,-625,1528,455,595,2250
250,-625,1527,455,595,2250
250,-625,1527,456,595,2249
250,-625,1528,456,595,2249
250,-625,1528,455,595,2249
250,-625,1527,455,595,2250
250,-625,1527,455,595,2249
250,-625,1527,456,595,2250
250,-625,1528,455,595,2249
250,-625,1528,455,595,2249
250,-625,1527,455,595,2249
250,-625,1527,455,595,2250
250,-625,1527,455,595,2249
250,-625,1527,456,595,2250
375,-625,1300,405,632,2456
375,-625,1299,405,632,2456
375,-625,1299,405,632,2456
375,-625,1299,406,632,2456
375,-625,1299,405,632,2456
375,-625,1299,405,632,2456
375,-625,1299,405,632,2457
375,-625,1299,405,632,2457
375,-625,1300,406,632,2456
375,-625,1299,405,632,2456
375,-625,1299,406,632,2455
375,-625,1299,405,631,2455
375,-625,1299,405,632,2456
375,-625,1299,406,632,2456
375,-625,1299,406,632,2456
375,-625,1299,405,632,2457
375,-625,1299,405,632,2456
375,-625,1299,405,632,2456
375,-625,1299,406,632,2456
375,-625,1300,405,632,2456
500,-625,1072,354,666,2654
500,-625,1073,354,666,2654
500,-625,1073,354,666,2654
500,-625,1073,354,666,2654
500,-625,1073,354,665,2655
500,-625,1073,354,665,2654
500,-625,1073,354,666,2654
500,-625,1073,354,665,2654
500,-625,1073,354,665,2654
500,-625,1072,354,665,2654
500,-625,1073,354,665,2655
500,-625,1072,354,666,2654
500,-625,1072,354,666,2654
500,-625,1073,354,666,2655
500,-625,1073,354,666,2655
500,-625,1073,354,666,2654
500,-625,1073,354,666,2654
500,-625,1072,354,666,2654
500,-625,1073,354,665,2655
500,-625,1073,354,666,2654
625,-625,852,303,699,2854
625,-625,852,303,699,2854
625,-625,852,303,698,2854
625,-625,852,303,699,2854
625,-625,852,303,698,2854
625,-625,852,303,698,2854
625,-625,852,303,699,2854
625,-625,852,303,699,2855
625,-625,852,303,699,2854
625,-625,852,303,699,2854
625,-625,852,303,699,2854
625,-625,852,303,699,2854
625,-625,852,303,698,2854
625,-625,852,303,698,2854
625,-625,852,303,699,2854
625,-625,852,303,699,2854
625,-625,852,303,698,2854
625,-625,852,303,699,2854
625,-625,852,303,698,2854
625,-625,852,303,699,2854
-625,-500,2810,967,317,665
-625,-500,2810,967,317,665
-625,-500,2810,967,318,666
-625,-500,2810,967,318,665
-625,-500,2810,967,318,665
-625,-500,2810,967,317,665
-625,-500,2810,967,317,665
-625,-500,2810,967,318,666
-625,-500,2810,967,318,665
-625,-500,2810,967,318,666
-625,-500,2810,967,317,665
