73,FF0B,0206,2B06,3806,8006
0C,0DC4,062C,063A,0680,0674
0C,0DC5,062D,063C,0681,0675
0C,0DC6,062C,063A,0680,0673
0C,0DC7,062C,0639,0680,0672
0C,0DC8,062A,0637,067F,0673
0C,0DC9,062D,063A,0681,0674
0C,0DCA,062E,063C,0681,0675
0C,0DCB,062C,063A,0681,0675
0C,0DCC,062B,0638,0680,0673
0C,0DCD,062B,0639,067F,0672
0C,0DCE,062D,063A,0680,0674
0C,0DCF,062E,063C,0681,0675
0C,0DD0,062D,063A,0680,0674
0C,0DD1,062B,0638,0680,0672
0C,0DD2,062A,0638,0680,0671
0C,0DD3,062C,063A,0681,0674
0C,0DD4,062D,063B,0681,0675
0C,0DD5,062C,063A,0681,0674
0C,0DD6,062B,0638,0680,0673
0C,0DD7,062B,0637,067F,0673
0C,0DD8,062C,063A,0681,0674
0C,0DD9,062E,063B,0681,0676
0C,0DDA,062D,063A,0680,0674
0C,0DDB,062B,0638,067F,0673
0C,0DDC,062A,0638,067F,0672
0C,0DDD,062C,063A,0681,0674
0C,0DDE,062E,063B,0681,0675
0C,0DDF,062D,063A,0681,0674
0C,0DE0,062B,0638,0680,0673
0C,0DE1,062A,0637,067F,0672
0C,0DE2,062C,063B,0680,0673
0C,0DE3,062E,063B,0681,0675
0C,0DE4,062C,063A,0681,0674
0C,0DE5,062B,0638,067F,0673
0C,0DE6,062B,0637,067F,0672
0C,0DE7,062D,063A,0680,0674
0C,0DE8,062E,063C,0681,0675
0C,0DE9,062D,063A,0680,0675
0C,0DEA,062B,0638,0680,0673
0C,0DEB,062A,0638,067F,0672
0C,0DEC,062D,063A,0680,0674
0C,0DED,062E,063C,0681,0675
0C,0DEE,062D,063B,0680,0674
0C,0DEF,062B,0638,067F,0672
0C,0DF0,062B,0638,067F,0672
0C,0DF1,062D,063A,0680,0675
0C,0DF2,062E,063B,0681,0675
0C,0DF3,062C,063A,0681,0674
0C,0DF4,062B,0639,0680,0672
0C,0DF5,062B,0637,067F,0672
0C,0DF6,062C,063A,0681,0674
0C,0DF7,062D,063C,0682,0675
0C,0DF8,062D,063A,0680,0674
0C,0DF9,062B,0639,0680,0673
0C,0DFA,062B,0638,067F,0672
0C,0DFB,062C,0639,0680,0675
0C,0DFC,062D,063B,0682,0676
0C,0DFD,062C,0639,0681,0674
0C,0DFE,062B,0638,0680,0673
0C,0DFF,062A,0638,067F,0672
0C,0E00,062C,063A,0680,0674
0C,0E01,062E,063B,0681,0675
0C,0E02,062D,063A,0680,0674
0C,0E03,062B,0638,0680,0673
0C,0E04,062B,0637,067F,0672
0C,0E05,062D,063A,0680,0675
0C,0E06,062E,063C,0682,0675
0C,0E07,062D,063A,0681,0674
0C,0E08,062A,0638,0680,0673
0C,0E09,062A,0638,0680,0672
0C,0E0A,062C,063A,0681,0674
0C,0E0B,062E,063B,0681,0675
0C,0E0C,062C,063A,0680,0674
0C,0E0D,062B,0638,0680,0673
0C,0E0E,062A,0637,067F,0672
0C,0E0F,062D,063A,0681,0674
0C,0E10,062E,063C,0681,0675
0C,0E11,062C,063A,0680,0674
0C,0E12,062B,0639,0680,0673
0C,0E13,062B,0638,067F,0672
0C,0E14,062C,063A,0681,0674
0C,0E15,062D,063B,0682,0676
0C,0E16,062D,063A,0680,0674
0C,0E17,062B,0639,0680,0672
0C,0E18,062B,0637,067F,0672
0C,0E19,062C,063A,0681,0674
0C,0E1A,062D,063B,0681,0675
0C,0E1B,062D,063A,0681,0674
0C,0E1C,062C,0639,0680,0672
0C,0E1D,062A,0637,067F,0673
0C,0E1E,062C,063B,0681,0674
0C,0E1F,062D,063B,0682,0675
0C,0E20,062C,063A,0681,0674
0C,0E21,062B,0638,0680,0673
0C,0E22,062B,0638,067F,0671
0C,0E23,062C,063B,0680,0674
0C,0E24,062D,063C,0681,0675
0C,0E25,062D,063A,0680,0674
0C,0E26,062B,0638,0680,0673
0C,0E27,062A,0638,067F,0672
0C,0E28,062D,063B,0680,0674
0C,0E29,062D,063B,0681,0675
0C,0E2A,062C,063A,0681,0674
0C,0E2B,062C,0639,067F,0672
0C,0E2C,062A,0637,067F,0672
0C,0E2D,062D,063B,0680,0674
0C,0E2E,062E,063C,0680,0675
0C,0E2F,062C,063A,0680,0674
0C,0E30,062B,0638,0680,0673
0C,0E31,062A,0638,067F,0673
0C,0E32,062C,063A,0681,0675
0C,0E33,062E,063B,0681,0676
0C,0E34,062D,063A,0680,0674
0C,0E35,062B,0638,067F,0673
0C,0E36,062B,0637,067F,0672
0C,0E37,062D,063A,0681,0674
0C,0E38,062D,063B,0681,0675
0C,0E39,062C,063B,0680,0674
0C,0E3A,062B,0638,0680,0672
0C,0E3B,062B,0637,067F,0672
0C,0E3C,062D,063A,0680,0674
0C,0E3D,062E,063B,0681,0675
0C,0E3E,062C,0639,0680,0674
0C,0E3F,062B,0638,0680,0673
0C,0E40,062A,0638,0680,0672
0C,0E41,062D,063B,0681,0674
0C,0E42,062E,063B,0681,0675
0C,0E43,062D,063B,0681,0674
0C,0E44,062C,0638,067F,0673
0C,0E45,062A,0638,067F,0673
0C,0E46,062D,063A,0681,0674
0C,0E47,062D,063B,0681,0675
0C,0E48,062C,063A,0681,0675
0C,0E49,062B,0638,0680,0673
0C,0E4A,062C,0638,067E,0672
0C,0E4B,062D,063A,0680,0674
0C,0E4C,062E,063B,0681,0675
0C,0E4D,062D,063A,0680,0674
0C,0E4E,062C,0638,0680,0673
0C,0E4F,062B,0638,0680,0672
0C,0E50,062C,0639,0680,0675
0C,0E51,062D,063B,0682,0676
0C,0E52,062D,063A,0680,0674
0C,0E53,062B,0639,0680,0673
0C,0E54,062B,0638,067F,0672
0C,0E55,062C,063A,0681,0675
0C,0E56,062D,063C,0681,0675
0C,0E57,062C,063A,0681,0674
0C,0E58,062B,0638,067F,0673
0C,0E59,062B,0638,067F,0672
0C,0E5A,062D,063A,0680,0674
0C,0E5B,062D,063C,0681,0675
0C,0E5C,062D,063B,0680,0674
0C,0E5D,062B,0639,0680,0673
0C,0E5E,062A,0638,067F,0672
0C,0E5F,062C,063A,0680,0674
0C,0E60,062D,063B,0681,0675
0C,0E61,062D,063A,0681,0674
0C,0E62,062C,0638,0680,0673
0C,0E63,062B,0637,067F,0673
0C,0E64,062C,063A,0681,0674
0C,0E65,062E,063C,0681,0675
0C,0E66,062C,063A,0680,0674
0C,0E67,062B,0638,0680,0673
0C,0E68,062B,0638,067F,0672
0C,0E69,062D,063A,0680,0674
0C,0E6A,062E,063C,0681,0675
0C,0E6B,062C,063B,0680,0674
0C,0E6C,062B,0639,0680,0673
0C,0E6D,062B,0638,067F,0672
0C,0E6E,062D,063A,0680,0674
0C,0E6F,062E,063C,0681,0675
0C,0E70,062C,063A,0680,0674
0C,0E71,062B,0639,0680,0673
0C,0E72,062B,0637,067F,0672
0C,0E73,062C,0639,0681,0675
0C,0E74,062E,063C,0681,0674
0C,0E75,062D,063A,0680,0674
0C,0E76,062B,0639,0680,0673
0C,0E77,062B,0639,067E,0672
0C,0E78,062D,063A,0680,0675
0C,0E79,062D,063B,0681,0675
0C,0E7A,062D,063A,0680,0673
0C,0E7B,062B,0638,0680,0673
0C,0E7C,062A,0637,067F,0673
0C,0E7D,062C,063A,0681,0675
0C,0E7E,062E,063B,0681,0676
0C,0E7F,062C,0639,0680,0675
0C,0E80,062C,0638,067F,0673
0C,0E81,062B,0638,067F,0672
0C,0E82,062C,063B,0681,0673
0C,0E83,062D,063B,0681,0675
0C,0E84,062D,063A,0680,0674
0C,0E85,062B,0638,0680,0673
0C,0E86,062B,0638,067F,0672
0C,0E87,062C,063A,0680,0674
0C,0E88,062D,063B,0681,0675
0C,0E89,062D,063A,0680,0674
0C,0E8A,062C,0638,0680,0672
0C,0E8B,062B,0638,067F,0672
0C,0E8C,062D,063B,0680,0674
0C,0E8D,062E,063B,0680,0675
0C,0E8E,062C,063B,0681,0674
0C,0E8F,062B,0639,0681,0672
0C,0E90,062A,0637,067F,0672
0C,0E91,062C,063A,0680,0674
0C,0E92,062E,063C,0681,0675
0C,0E93,062D,063A,0680,0674
0C,0E94,062C,0638,067F,0673
0C,0E95,062A,0638,067F,0672
0C,0E96,062D,063A,0680,0674
0C,0E97,062D,063B,0681,0675
0C,0E98,062C,063A,0681,0674
0C,0E99,062C,0639,067F,0672
0C,0E9A,062B,0637,067F,0672
0C,0E9B,062D,063A,0680,0674
0C,0E9C,062E,063B,0680,0675
0C,0E9D,062D,063A,0681,0674
0C,0E9E,062B,0638,067F,0673
0C,0E9F,062B,0638,067F,0672
0C,0EA0,062D,063A,0681,0674
0C,0EA1,062D,063C,0681,0675
0C,0EA2,062D,063A,0680,0674
0C,0EA3,062C,0638,0680,0673
0C,0EA4,062A,0638,067F,0672
0C,0EA5,062D,063B,0681,0674
0C,0EA6,062D,063B,0682,0675
0C,0EA7,062D,063A,0681,0674
0C,0EA8,062C,0638,067F,0673
0C,0EA9,062B,0637,067F,0673
0C,0EAA,062D,063B,0681,0674
0C,0EAB,062D,063C,0681,0675
0C,0EAC,062C,063A,0681,0674
0C,0EAD,062B,0638,0680,0673
0C,0EAE,062B,0638,067F,0672
0C,0EAF,062D,063A,0680,0674
0C,0EB0,062E,063C,0681,0675
0C,0EB1,062D,063A,0680,0674
0C,0EB2,062C,0638,067F,0673
0C,0EB3,062A,0638,067F,0672
0C,0EB4,062D,0639,0681,0674
0C,0EB5,062E,063B,0682,0675
0C,0EB6,062C,063A,0681,0674
0C,0EB7,062B,0639,0680,0673
0C,0EB8,062B,0637,067F,0672
0C,0EB9,062C,063B,0680,0674
0C,0EBA,062E,063B,0681,0675
0C,0EBB,062D,063A,0680,0674
0C,0EBC,062B,0638,0680,0673
0C,0EBD,062B,0638,067F,0672
0C,0EBE,062C,063A,0680,0675
0C,0EBF,062D,063B,0681,0675
0C,0EC0,062D,063B,0680,0674
0C,0EC1,062C,0638,0680,0673
0C,0EC2,062A,0638,067F,0672
0C,0EC3,062C,063A,0681,0674
0C,0EC4,062D,063C,0681,0675
0C,0EC5,062C,063A,0680,0674
0C,0EC6,062C,0638,067F,0673
0C,0EC7,062B,0637,067F,0672
0C,0EC8,062D,063A,0680,0675
0C,0EC9,062E,063C,0681,0675
0C,0ECA,062C,063A,0680,0674
0C,0ECB,062B,0638,0680,0673
0C,0ECC,062B,0638,067F,0671
0C,0ECD,062C,063A,0680,0674
0C,0ECE,062E,063C,0681,0675
0C,0ECF,062D,063B,0680,0674
0C,0ED0,062B,0638,0680,0672
0C,0ED1,062B,0638,067F,0672
0C,0ED2,062C,063A,0681,0674
0C,0ED3,062D,063B,0681,0675
0C,0ED4,062C,063A,0680,0674
0C,0ED5,062B,0639,0680,0672
0C,0ED6,062B,0638,067F,0672
0C,0ED7,062C,063A,0680,0674
0C,0ED8,062E,063B,0681,0675
0C,0ED9,062D,063A,0680,0674
0C,0EDA,062C,0639,0680,0672
0C,0EDB,062B,0638,067F,0672
0C,0EDC,062D,063B,0680,0674
0C,0EDD,062D,063B,0682,0675
0C,0EDE,062C,063A,0681,0675
0C,0EDF,062C,0639,0680,0673
0C,0EE0,062B,0638,067F,0672
0C,0EE1,062C,063B,0681,0673
0C,0EE2,062E,063B,0681,0674
0C,0EE3,062C,063A,0680,0674
0C,0EE4,062B,0638,0680,0673
0C,0EE5,062A,0638,067F,0672
0C,0EE6,062C,063B,0680,0674
0C,0EE7,062D,063B,0681,0675
0C,0EE8,062C,063A,0680,0673
0C,0EE9,062B,0638,0680,0673
0C,0EEA,062B,0638,067F,0672
0C,0EEB,062D,063B,0680,0674
0C,0EEC,062E,063C,0681,0675
0C,0EED,062C,063A,0681,0674
0C,0EEE,062B,0639,0680,0673
0C,0EEF,062B,0637,067F,0672
0C,0EF0,062D,063A,0681,0674
0C,0EF1,062E,063B,0681,0674
0C,0EF2,062C,063A,0680,0674
0C,0EF3,062B,0639,067F,0672
0C,0EF4,062B,0638,067F,0673
0C,0EF5,062D,063A,0681,0674
0C,0EF6,062D,063B,0681,0675
0C,0EF7,062C,063A,0681,0674
0C,0EF8,062B,0638,0680,0672
0C,0EF9,062A,0638,067F,0673
0C,0EFA,062D,063B,0681,0674
0C,0EFB,062E,063B,0681,0675
0C,0EFC,062D,063A,0680,0674
0C,0EFD,062B,0638,067F,0673
0C,0EFE,062B,0638,067F,0672
0C,0EFF,062D,063B,0680,0673
0C,0F00,062D,063B,0681,0675
0C,0F01,062C,0639,0680,0674
0C,0F02,062C,0638,0680,0674
0C,0F03,062A,0638,0680,0673
0C,0F04,062D,063A,0681,0674
0C,0F05,062D,063C,0681,0675
0C,0F06,062C,063A,0681,0673
0C,0F07,062C,0639,0680,0673
0C,0F08,062C,0638,067F,0673
0C,0F09,062D,063B,0680,0674
0C,0F0A,062E,063C,0681,0675
0C,0F0B,062C,063A,0680,0674
0C,0F0C,062B,0638,0680,0673
0C,0F0D,062B,0638,067F,0672
0C,0F0E,062D,063A,0681,0674
0C,0F0F,062E,063C,0681,0675
0C,0F10,062D,063B,0680,0673
0C,0F11,062B,0638,067F,0672
0C,0F12,062A,0638,067F,0672
0C,0F13,062D,063A,0681,0675
0C,0F14,062D,063A,0681,0675
0C,0F15,062C,063A,0680,0673
0C,0F16,062B,0639,0680,0673
0C,0F17,062B,0637,067F,0672
0C,0F18,062D,063B,0681,0675
0C,0F19,062D,063C,0682,0675
0C,0F1A,062D,063A,0680,0673
0C,0F1B,062B,0638,0680,0673
0C,0F1C,062A,0638,067F,0672
0C,0F1D,062C,063A,0681,0674
0C,0F1E,062D,063A,0682,0675
0C,0F1F,062C,063A,0681,0673
0C,0F20,062B,0637,0680,0673
0C,0F21,062A,0638,067F,0672
0C,0F22,062D,063B,0680,0674
0C,0F23,062E,063B,0680,0675
0C,0F24,062D,063A,0681,0674
0C,0F25,062C,0638,0680,0673
0C,0F26,062A,0638,067F,0672
0C,0F27,062C,063A,0681,0674
0C,0F28,062D,063C,0681,0675
0C,0F29,062C,063A,0680,0673
0C,0F2A,062B,0638,0680,0673
0C,0F2B,062B,0638,0680,0672
0C,0F2C,062D,063A,0680,0675
0C,0F2D,062E,063B,0681,0675
0C,0F2E,062C,063A,0680,0674
0C,0F2F,062B,0638,0680,0673
0C,0F30,062A,0637,0680,0673
0C,0F31,062C,063A,0681,0675
0C,0F32,062D,063B,0681,0675
0C,0F33,062C,0639,0680,0674
0C,0F34,062B,0638,0680,0672
0C,0F35,062B,0639,067F,0671
0C,0F36,062C,063A,0681,0675
0C,0F37,062D,063B,0682,0675
0C,0F38,062D,0639,0680,0674
0C,0F39,062B,0638,067F,0673
0C,0F3A,062B,0638,067F,0673
0C,0F3B,062D,063A,0680,0674
0C,0F3C,062D,063B,0681,0675
0C,0F3D,062C,063A,0680,0674
0C,0F3E,062B,0638,0680,0672
0C,0F3F,062A,0637,067F,0672
0C,0F40,062D,063B,0680,0674
0C,0F41,062E,063C,0681,0675
0C,0F42,062C,0639,0680,0674
0C,0F43,062B,0638,0680,0673
0C,0F44,062C,0638,067F,0672
0C,0F45,062D,063B,0681,0675
0C,0F46,062E,063D,0681,0676
0C,0F47,062D,063B,0680,0674
0C,0F48,062C,0639,0680,0673
0C,0F49,062B,0639,0680,0673
0C,0F4A,062D,063B,0681,0675
0C,0F4B,062E,063B,0682,0675
0C,0F4C,062C,063A,0680,0674
0C,0F4D,062B,0638,0680,0673
0C,0F4E,062B,0638,067F,0672
0C,0F4F,062C,063B,0681,0674
0C,0F50,062C,063B,0682,0675
0C,0F51,062C,0639,0681,0674
0C,0F52,062B,0639,0680,0672
0C,0F53,062A,0638,067F,0673
0C,0F54,062D,063A,0681,0674
0C,0F55,062E,063A,0681,0675
0C,0F56,062C,063A,0680,0674
0C,0F57,062C,0638,067F,0672
0C,0F58,062A,0637,067F,0673
0C,0F59,062C,063A,0681,0674
0C,0F5A,062E,063C,0681,0675
0C,0F5B,062C,0639,0681,0674
0C,0F5C,062C,0639,0680,0673
0C,0F5D,062B,0638,067F,0673
0C,0F5E,062D,063A,0681,0674
0C,0F5F,062E,063C,0681,0675
0C,0F60,062C,0639,0681,0674
0C,0F61,062B,0638,0680,0672
0C,0F62,062A,0637,067F,0673
0C,0F63,062D,063B,0681,0675
0C,0F64,062E,063C,0681,0675
0C,0F65,062C,063A,0681,0674
0C,0F66,062B,0638,0680,0672
0C,0F67,062B,0638,067F,0672
0C,0F68,062D,063B,0680,0674
0C,0F69,062D,063C,0681,0675
0C,0F6A,062D,063A,0680,0674
0C,0F6B,062C,0639,067F,0673
0C,0F6C,062B,0639,0680,0673
0C,0F6D,062D,063B,0681,0675
0C,0F6E,062F,063C,0682,0676
0C,0F6F,062D,063A,0681,0674
0C,0F70,062C,0639,0680,0673
0C,0F71,062C,0638,0680,0673
0C,0F72,062E,063B,0681,0674
0C,0F73,062E,063B,0681,0675
0C,0F74,062C,0639,0680,0674
0C,0F75,062B,0639,0680,0672
0C,0F76,062B,0638,0680,0672
0C,0F77,062D,063B,0680,0674
0C,0F78,062D,063C,0681,0674
0C,0F79,062D,063A,0680,0673
0C,0F7A,062B,0638,0680,0673
0C,0F7B,062A,0638,0680,0673
0C,0F7C,062D,063B,0681,0674
0C,0F7D,062D,063B,0682,0675
0C,0F7E,062B,063A,0681,0674
0C,0F7F,062B,0638,067F,0673
0C,0F80,062A,0637,067F,0672
0C,0F81,062E,063B,0680,0675
0C,0F82,062F,063C,0681,0675
0C,0F83,062D,063A,0681,0675
0C,0F84,062C,0638,0680,0674
0C,0F85,062B,0639,0680,0672
0C,0F86,062D,063B,0681,0675
0C,0F87,062E,063C,0682,0675
0C,0F88,062D,063A,0681,0674
0C,0F89,062B,0638,067F,0673
0C,0F8A,062B,0639,0680,0672
0C,0F8B,062D,063A,0681,0675
0C,0F8C,062E,063B,0682,0676
0C,0F8D,062C,0639,0681,0674
0C,0F8E,062B,0638,067F,0672
0C,0F8F,062A,0637,067F,0673
0C,0F90,062C,063A,0681,0674
0C,0F91,062D,063B,0681,0675
0C,0F92,062B,0639,0681,0674
0C,0F93,062B,0638,0680,0673
0C,0F94,062B,0638,067F,0672
0C,0F95,062D,063B,0680,0674
0C,0F96,062E,063C,0681,0675
0C,0F97,062E,063A,0680,0674
0C,0F98,062C,0638,067F,0672
0C,0F99,062A,0638,067F,0672
0C,0F9A,062C,063B,0681,0674
0C,0F9B,062D,063B,0682,0675
0C,0F9C,062D,063A,0681,0674
0C,0F9D,062B,0638,0680,0673
0C,0F9E,062B,0637,067E,0673
0C,0F9F,062D,063A,0681,0674
0C,0FA0,062D,063C,0682,0675
0C,0FA1,062C,0639,0681,0674
0C,0FA2,062B,0638,0680,0673
0C,0FA3,062A,0638,0680,0672
0C,0FA4,062D,063A,0681,0675
0C,0FA5,062E,063C,0681,0676
0C,0FA6,062D,063A,0681,0674
0C,0FA7,062B,0638,0680,0673
0C,0FA8,062A,0637,067F,0673
0C,0FA9,062D,063A,0681,0675
0C,0FAA,062D,063B,0681,0675
0C,0FAB,062C,0639,0681,0674
0C,0FAC,062B,0639,067F,0672
0C,0FAD,062B,0639,067E,0672
0C,0FAE,062D,063A,0680,0674
0C,0FAF,062D,063B,0681,0675
0C,0FB0,062C,063A,0681,0674
0C,0FB1,062B,0638,0680,0673
0C,0FB2,062B,0639,067F,0672
0C,0FB3,062D,063B,0681,0674
0C,0FB4,062D,063A,0681,0675
0C,0FB5,062B,0639,0680,0673
0C,0FB6,062B,0639,067F,0672
0C,0FB7,062B,0637,067F,0673
0C,0FB8,062D,063B,0681,0675
0C,0FB9,062D,063C,0681,0675
0C,0FBA,062C,0639,0680,0674
0C,0FBB,062B,0639,0680,0673
0C,0FBC,062B,0638,067F,0673
0C,0FBD,062D,063B,0681,0675
0C,0FBE,062D,063C,0681,0675
0C,0FBF,062C,0639,0680,0674
0C,0FC0,062B,0638,0680,0672
0C,0FC1,062B,0638,067F,0672
0C,0FC2,062D,063B,0680,0675
0C,0FC3,062E,063C,0681,0676
0C,0FC4,062C,063A,0681,0674
0C,0FC5,062B,0639,0680,0673
0C,0FC6,062B,0637,067F,0673
0C,0FC7,062D,063B,0682,0674
0C,0FC8,062D,063C,0681,0675
0C,0FC9,062C,063A,0680,0674
0C,0FCA,062B,0639,067F,0672
0C,0FCB,062B,0639,067F,0672
0C,0FCC,062D,063B,0681,0675
0C,0FCD,062D,063C,0682,0675
0C,0FCE,062C,063A,0681,0674
0C,0FCF,062B,0639,0680,0672
0C,0FD0,062A,0639,067F,0673
0C,0FD1,062D,063B,0681,0674
0C,0FD2,062E,063B,0681,0675
0C,0FD3,062C,0639,0681,0674
0C,0FD4,062B,0639,0680,0672
0C,0FD5,062B,0637,067F,0672
0C,0FD6,062C,063B,0681,0674
0C,0FD7,062D,063C,0681,0675
0C,0FD8,062D,063A,0680,0674
0C,0FD9,062C,0638,0680,0673
0C,0FDA,062A,0639,067F,0672
0C,0FDB,062D,063B,0681,0674
0C,0FDC,062D,063C,0682,0675
0C,0FDD,062C,063A,0680,0673
0C,0FDE,062B,0638,067F,0672
0C,0FDF,062B,0639,067F,0673
0C,0FE0,062E,063B,0681,0675
0C,0FE1,062E,063B,0681,0675
0C,0FE2,062C,063A,0680,0674
0C,0FE3,062B,0639,0680,0672
0C,0FE4,062B,0638,0680,0672
0C,0FE5,062D,063A,0681,0675
0C,0FE6,062E,063C,0681,0675
0C,0FE7,062D,063A,0680,0675
0C,0FE8,062B,0637,067F,0673
0C,0FE9,062A,0638,067F,0672
0C,0FEA,062D,063A,0681,0675
0C,0FEB,062E,063B,0681,0676
0C,0FEC,062C,063A,0681,0674
0C,0FED,062B,0638,0680,0673
0C,0FEE,062C,0638,067F,0672
0C,0FEF,062D,063B,0681,0675
0C,0FF0,062E,063C,0680,0675
0C,0FF1,062D,063A,0680,0673
0C,0FF2,062B,0638,0680,0672
0C,0FF3,062B,0639,067F,0672
0C,0FF4,062D,063C,0681,0674
0C,0FF5,062D,063C,0681,0675
0C,0FF6,062D,063A,0681,0674
0C,0FF7,062C,0638,067F,0673
0C,0FF8,062B,0638,0680,0673
0C,0FF9,062D,063B,0681,0674
0C,0FFA,062E,063B,0681,0676
0C,0FFB,062C,063A,0681,0674
0C,0FFC,062B,0638,0680,0673
0C,0FFD,062A,0638,067F,0673
0C,0FFE,062E,063B,0681,0675
0C,0FFF,062E,063C,0681,0675
0C,1000,062D,063A,0681,0674
0C,1001,062B,0638,0680,0673
0C,1002,062C,0639,0680,0672
0C,1003,062E,063B,0681,0675
0C,1004,062E,063C,0682,0675
0C,1005,062D,063B,0680,0674
0C,1006,062C,0638,0680,0673
0C,1007,062A,0638,067F,0672
0C,1008,062D,063A,0681,0675
0C,1009,062E,063B,0681,0675
0C,100A,062C,063A,0680,0673
0C,100B,062B,0638,0680,0673
0C,100C,062B,0638,067F,0672
0C,100D,062C,063B,0681,0675
0C,100E,062E,063C,0682,0675
0C,100F,062D,063A,0680,0673
0C,1010,062B,0638,067F,0672
0C,1011,062B,0638,067F,0673
0C,1012,062D,063B,0681,0674
0C,1013,062D,063B,0681,0676
0C,1014,062C,0639,0680,0674
0C,1015,062B,0638,0680,0672
0C,1016,062B,0638,067F,0673
0C,1017,062D,063B,0681,0674
0C,1018,062E,063C,0681,0675
0C,1019,062C,0639,0681,0674
0C,101A,062B,0638,0680,0672
0C,101B,062B,0638,067F,0672
0C,101C,062D,063B,0681,0675
0C,101D,062D,063C,0681,0676
0C,101E,062C,063A,0680,0674
0C,101F,062B,0638,0680,0673
0C,1020,062B,0638,0680,0672
0C,1021,062D,063B,0681,0674
0C,1022,062E,063C,0681,0674
0C,1023,062C,063A,0680,0674
0C,1024,062B,0638,067F,0672
0C,1025,062B,0638,067F,0673
0C,1026,062D,063B,0681,0675
0C,1027,062E,063B,0682,0675
0C,1028,062C,063A,0680,0674
0C,1029,062A,0638,0680,0672
0C,102A,062B,0639,067F,0672
0C,102B,062D,063A,0681,0675
0C,102C,062E,063B,0681,0675
0C,102D,062D,0639,0680,0674
0C,102E,062C,0638,0680,0673
0C,102F,062A,0639,0680,0672
0C,1030,062D,063B,0682,0674
0C,1031,062E,063B,0681,0675
0C,1032,062D,063A,0681,0674
0C,1033,062C,0639,067F,0672
0C,1034,062C,0638,067F,0673
0C,1035,062D,063B,0681,0674
0C,1036,062D,063C,0682,0675
0C,1037,062C,0639,0680,0674
0C,1038,062B,0638,0680,0673
0C,1039,062B,0638,067F,0673
0C,103A,062E,063B,0680,0675
0C,103B,062E,063B,0681,0675
0C,103C,062C,0639,0680,0674
0C,103D,062C,0639,0680,0673
0C,103E,062B,0638,0680,0673
0C,103F,062D,063B,0681,0674
0C,1040,062F,063C,0681,0674
0C,1041,062C,063A,0680,0673
0C,1042,062C,0639,067F,0672
0C,1043,062C,0639,067F,0672
0C,1044,062D,063B,0681,0675
0C,1045,062D,063C,0682,0675
0C,1046,062C,063A,0681,0674
0C,1047,062B,0637,0680,0673
0C,1048,062B,0638,067F,0672
0C,1049,062D,063B,0681,0674
0C,104A,062E,063B,0681,0675
0C,104B,062D,063A,0681,0674
0C,104C,062B,0639,0680,0673
0C,104D,062B,0638,0680,0673
0C,104E,062D,063B,0682,0674
0C,104F,062E,063C,0681,0675
0C,1050,062C,0639,0680,0673
0C,1051,062C,0638,067F,0673
0C,1052,062B,0638,067F,0672
0C,1053,062D,063B,0681,0675
0C,1054,062D,063B,0681,0675
0C,1055,062C,063A,0681,0673
0C,1056,062B,0638,0680,0673
0C,1057,062B,0639,067F,0673
0C,1058,062E,063C,0681,0675
0C,1059,062E,063C,0681,0676
0C,105A,062D,063A,0680,0674
0C,105B,062C,0638,067F,0672
0C,105C,062B,0638,067F,0673
0C,105D,062D,063B,0681,0675
0C,105E,062E,063B,0681,0675
0C,105F,062C,0639,0680,0674
0C,1060,062B,0638,0680,0673
0C,1061,062B,0639,0680,0673
0C,1062,062D,063A,0681,0675
0C,1063,062D,063B,0681,0675
0C,1064,062C,063A,0680,0673
0C,1065,062B,0638,0680,0672
0C,1066,062B,0638,067F,0673
0C,1067,062D,063B,0681,0675
0C,1068,062E,063B,0681,0676
0C,1069,062C,0639,0681,0674
0C,106A,062B,0638,0680,0672
0C,106B,062C,0639,067F,0672
0C,106C,062D,063B,0681,0674
0C,106D,062E,063D,0681,0674
0C,106E,062C,0639,0680,0674
0C,106F,062A,0637,0680,0673
0C,1070,062B,0639,0680,0672
0C,1071,062D,063B,0681,0675
0C,1072,062D,063B,0681,0675
0C,1073,062C,063A,0680,0673
0C,1074,062B,0638,0680,0673
0C,1075,062A,0638,067F,0673
0C,1076,062D,063B,0681,0674
0C,1077,062D,063C,0681,0675
0C,1078,062C,063A,0681,0673
0C,1079,062B,0638,0680,0672
0C,107A,062C,0639,067F,0672
0C,107B,062D,063B,0681,0675
0C,107C,062D,063B,0681,0675
0C,107D,062C,063A,0681,0674
0C,107E,062B,0638,067F,0672
0C,107F,062B,0639,067F,0673
0C,1080,062E,063B,0680,0675
0C,1081,062E,063B,0681,0675
0C,1082,062D,0639,0680,0673
0C,1083,062B,0638,067F,0672
0C,1084,062A,0638,067F,0673
0C,1085,062D,063A,0681,0675
0C,1086,062E,063C,0681,0675
0C,1087,062D,0639,0680,0674
0C,1088,062B,0639,067F,0673
0C,1089,062C,0639,067F,0673
0C,108A,062D,063A,0682,0675
0C,108B,062D,063B,0682,0675
0C,108C,062C,063A,0681,0673
0C,108D,062B,0638,067F,0672
0C,108E,062B,0639,067F,0673
0C,108F,062D,063B,0681,0674
0C,1090,062D,063C,0681,0674
0C,1091,062C,0639,0680,0673
0C,1092,062B,0639,0680,0672
0C,1093,062C,0638,067F,0673
0C,1094,062D,063B,0681,0675
0C,1095,062E,063B,0681,0675
0C,1096,062C,0639,0680,0674
0C,1097,062B,0638,0680,0673
