,T [s],r_x,r_y,x_raw,y_raw,V1(Y1),V2(X2),V3(Y2),V4(X1),x-axis coefficient: a,x-axis offset: b,y-axis coefficient: a,y-axis offset: b
0,0.0,54.88716778318285,-1.0360903329543774,-0.011844331641285956,-0.0026149823104137824,1610,1602,1640,1649,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
1,0.02,54.89979079632766,-0.6835707912915712,-0.011855273287143957,-0.0023094688221709007,1608,1601,1639,1647,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
2,0.04,54.556861020557704,-0.6860347781534337,-0.01155802126675913,-0.002311604253351826,1607,1600,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
3,0.06,54.55275253035076,-1.0407388021159358,-0.011554460021568326,-0.002619010938222154,1608,1600,1637,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
4,0.08,54.88296528841759,-0.6802925482762185,-0.011840688912809472,-0.0023066277102875596,1610,1603,1641,1649,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
5,0.1,54.707633613167154,-0.503239695000276,-0.01168871116579514,-0.002153183635804368,1610,1603,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
6,0.12,54.89979079632766,-0.6835707912915712,-0.011855273287143957,-0.0023094688221709007,1608,1601,1639,1647,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
7,0.14,54.73673168434924,-0.8642910114034696,-0.011713933415536375,-0.002466091245376079,1607,1599,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
8,0.16,54.90821910305537,-0.6852129430654761,-0.011862578955476814,-0.002310892004313665,1607,1600,1638,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
9,0.18,54.711782806262306,-0.8590377399981473,-0.011692307692307693,-0.0024615384615384616,1610,1602,1640,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
10,0.2,54.88716778318285,-0.6811113526288073,-0.011844331641285956,-0.0023073373327180432,1610,1602,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
11,0.22,54.89979079632766,-0.6835707912915712,-0.011855273287143957,-0.0023094688221709007,1608,1601,1639,1647,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
12,0.24,54.91665780387186,-0.6868571199995774,-0.011869893633420687,-0.0023123169415754587,1606,1599,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
13,0.26,54.90821910305537,-0.6852129430654761,-0.011862578955476814,-0.002310892004313665,1607,1600,1638,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
14,0.28,54.891372864496674,-0.6819306609385294,-0.011847976611786428,-0.002308047391906447,1609,1602,1640,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
15,0.3,54.88716778318285,-0.6811113526288073,-0.011844331641285956,-0.0023073373327180432,1610,1602,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
16,0.32,54.90400365163103,-0.6843916142674236,-0.011858924996149699,-0.0023101801940551363,1608,1600,1639,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
17,0.34,54.91665780387186,-0.6868571199995774,-0.011869893633420687,-0.0023123169415754587,1606,1599,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
18,0.36,54.90821910305537,-0.6852129430654761,-0.011862578955476814,-0.002310892004313665,1607,1600,1638,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
19,0.38,54.711782806262306,-0.8590377399981473,-0.011692307692307693,-0.0024615384615384616,1610,1602,1640,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
20,0.4,54.711782806262306,-0.8590377399981473,-0.011692307692307693,-0.0024615384615384616,1610,1602,1640,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
21,0.42,54.72424571980003,-0.8616619488738582,-0.011703110563597166,-0.0024638127502309825,1608,1601,1638,1647,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
22,0.44,54.556861020557704,-0.6860347781534337,-0.01155802126675913,-0.002311604253351826,1607,1600,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
23,0.46,54.90821910305537,-0.6852129430654761,-0.011862578955476814,-0.002310892004313665,1607,1600,1638,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
24,0.48,55.06675719448163,-0.5040041475217574,-0.012,-0.0021538461538461538,1609,1602,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
25,0.5,54.88716778318285,-0.6811113526288073,-0.011844331641285956,-0.0023073373327180432,1610,1602,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
26,0.52,54.90400365163103,-1.0398079628114758,-0.011858924996149699,-0.0026182042199291546,1608,1600,1638,1647,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
27,0.54,54.73673168434924,-0.8642910114034696,-0.011713933415536375,-0.002466091245376079,1607,1599,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
28,0.56,55.0838169617528,-0.5070666677279612,-0.012014787430683918,-0.0021565003080714724,1607,1600,1639,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
29,0.58,55.06675719448163,-0.5040041475217574,-0.012,-0.0021538461538461538,1609,1602,1641,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
30,0.6,54.891372864496674,-0.6819306609385294,-0.011847976611786428,-0.002308047391906447,1609,1602,1640,1648,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
31,0.62,54.72424571980003,-0.5063003302880043,-0.011703110563597166,-0.0021558361564521095,1608,1601,1639,1646,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
32,0.64,54.556861020557704,-0.6860347781534337,-0.01155802126675913,-0.002311604253351826,1607,1600,1637,1645,-1153.6667617128214,41.222756053927775,1153.8591755482666,1.981230999812971
