,T [s],r_x,r_y,x_raw,y_raw,V1(Y1),V2(X2),V3(Y2),V4(X1),x-axis coefficient: a,x-axis offset: b,y-axis coefficient: a,y-axis offset: b
0,0.0,46.46538664661932,-16.702844908967094,0.029868942395611095,-0.0051813471502590676,1698,1681,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
1,0.02,45.67823597080423,-16.46185138402335,0.03034924508159219,-0.00503278938538966,1697,1681,1581,1598,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
2,0.04,46.95011611394105,-16.705407497419117,0.029573170731707316,-0.005182926829268293,1697,1680,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
3,0.06,47.2366653557741,-16.946105399949786,0.0293983244478294,-0.005331302361005331,1698,1681,1584,1602,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
4,0.08,47.009149485916566,-16.695166507515232,0.02953714981729598,-0.0051766138855054815,1699,1682,1585,1602,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
5,0.1,46.22313269982437,-17.44309444285179,0.030016760627761693,-0.005637665701660826,1699,1681,1582,1601,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
6,0.12,46.43552929507359,-16.70797164890161,0.029887160719731624,-0.00518450747179018,1697,1680,1582,1599,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
7,0.14,46.95011611394105,-16.705407497419117,0.029573170731707316,-0.005182926829268293,1697,1680,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
8,0.16,47.50819448612195,-17.189143667585057,0.029232643118148598,-0.0054811205846528625,1699,1681,1585,1603,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
9,0.18,47.50819448612195,-16.695166507515232,0.029232643118148598,-0.0051766138855054815,1698,1682,1585,1603,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
10,0.2,46.46538664661932,-16.702844908967094,0.029868942395611095,-0.0051813471502590676,1698,1681,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
11,0.22,46.43552929507359,-16.70797164890161,0.029887160719731624,-0.00518450747179018,1697,1680,1582,1599,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
12,0.24,46.70771444006777,-16.456873913151412,0.029721079103795154,-0.005029721079103796,1697,1681,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
13,0.26,47.009149485916566,-17.189143667585057,0.02953714981729598,-0.0054811205846528625,1699,1682,1584,1603,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
14,0.28,47.251338676666464,-17.437523838523163,0.02938937109791381,-0.005634231764885031,1699,1681,1584,1603,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
15,0.3,46.46538664661932,-16.702844908967094,0.029868942395611095,-0.0051813471502590676,1698,1681,1583,1600,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
16,0.32,46.43552929507359,-16.70797164890161,0.029887160719731624,-0.00518450747179018,1697,1680,1582,1599,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
17,0.34,46.964887951305236,-17.197273739710557,0.029564157269125268,-0.005486132276744895,1698,1680,1583,1601,-1638.8637806744828,95.41651450583886,1622.2209936693068,-8.297554786328197
